,EP,BP,SP,CFP,financial_leverage,debtequityratio,cashratio,currentratio,NI,GPM,ROE,ROA,asset_turnover,net_operating_cash_flow,Sales_G_q,Profit_G_q,RSI,BIAS,PSY,DIF,DEA,MACD,AR,ARBR,ATR14,VOL5,VOL60,Skewness20,Skewness60
000001.XSHE,0.11483825032441805,0.6024459304777396,0.3216157977679863,0.38122831763943427,21.001152403074464,,,,0.357063,0.4401,0.190618,0.009077,0.02542,8.003917,0.152795,5.556996,40.83706647047767,-2.82665455783858,50.0,-0.12793378128563582,-0.11830403300496528,-0.019259496561341072,100.567446,11.739479,13.763571,0.5284,0.923253,-0.352325,-0.795137
000002.XSHE,0.06260094402223586,0.4464883689779881,0.46270590412733664,0.03437276577022493,3.809236770046487,0.606191773268038,0.149418,1.652441,0.157863,0.338604,0.140209,0.035042,0.221979,18.078261,-0.130769,0.160362,45.36488621139106,-4.01659438053932,60.0,-0.06571110577479367,-0.014476635547802475,-0.10246894045398239,115.710888,17.087638,39.592143,0.99618,1.103612,-0.117472,0.519077
000009.XSHE,0.016181229773462785,0.12493128779171456,0.16250914113918907,0.03522180934434602,2.609739548011519,0.7515149923531412,-0.019055,2.209726,0.138416,0.396089,0.12952,0.044609,0.322285,-7.895037,-0.027536,0.171964,56.29988915224645,10.17200474495848,50.0,0.012427133086842623,-0.13611831584162642,0.2970908978569381,97.017445,-13.210737,4.836429,4.39414,3.091358,-0.17458,0.243806
000012.XSHE,0.032886298910148055,0.15130653190298227,0.18298261665141813,0.004439622028338995,1.8340470310420167,0.1600437983736302,0.035589,0.417835,0.198231,0.35647,0.217347,0.124209,0.626588,1.512244,0.585932,1.767415,46.559665097961414,0.33229713795691485,40.0,-0.4430902840228974,-0.4850544757394354,0.08392838343307596,77.642833,3.090349,16.417143,2.49442,3.293263,1.229863,0.568689
000021.XSHE,0.02518434943788532,0.2717760565294198,1.4762326542663124,0.018730485175757507,1.518543826019701,0.004564877387429691,0.06386,1.954442,0.017779,0.026672,0.092667,0.0586,3.29596,1.657622,0.784142,0.375609,38.713043276404605,-3.2840129916997314,60.0,-0.6187018614562323,-0.6150111832501395,-0.0073813564121856245,52.986127,-9.412475,4.674286,0.33728,0.918088,-1.494043,-0.839623
000024.XSHE,0.07660369842656004,0.6384472961757007,0.5240540823813018,0.03251028137648532,2.6530542289269756,0.5341097131207593,0.022408,2.134825,0.180012,0.395993,0.119988,0.047784,0.265447,-0.635845,1.077048,0.569765,45.514074261702476,-4.323914280295875,60.0,-0.14914931500131523,-0.03693296913826985,-0.22443269172609076,138.488576,42.637954,3.966429,1.74998,2.632253,-0.177578,0.271659
000027.XSHE,0.06401351965535121,0.6442053726728081,0.5860634120611851,0.033601473088580205,1.8222287323553454,0.38988603436376584,-0.042512,1.123455,0.146382,0.219528,0.116267,0.063764,0.435599,1.681124,0.308135,-0.086019,38.35433588075097,-2.665121668597929,45.0,-0.1233432567690782,-0.12211112823181415,-0.0024642570745281034,61.198016,-0.123099,1.677857,0.1775,1.089687,-1.070513,-0.846868
000031.XSHE,0.03452657164954149,0.4608932110430013,0.19131798963056498,-0.06384799070373255,2.6774074215362593,0.6242049795309695,-0.02206,1.877633,0.173312,0.359496,0.074914,0.024435,0.140989,-19.128916,1.129267,1.057447,41.4064556477712,-2.853141956940316,50.0,-0.16075693341367625,-0.14334431910079465,-0.034825228625763205,116.469194,25.918506,3.001429,0.25596,0.566963,-0.351835,-0.210998
000039.XSHE,0.03662775578077555,0.22871257690460398,0.653765690376569,0.028963931216456146,3.0868751843259363,0.26769048309234067,0.025416,1.142008,0.06235,0.162355,0.160149,0.047502,0.761859,-0.76784,1.474373,2.797847,65.59881937856383,10.451992230563283,55.00000000000001,0.5098533517516053,0.3353794601585652,0.3489477831860802,159.567298,19.939873,26.734286,1.71624,1.517565,0.829321,0.094949
000046.XSHE,0.019919406082988228,0.42288662409607986,0.13725705501262767,-0.03880420948064446,2.3757344702870156,0.9879789953699425,-0.182035,6.07187,0.142734,0.454515,0.047103,0.016382,0.114775,-5.620211,0.578169,0.742624,40.12812510638855,-8.030385241454146,40.0,-0.17488374705752197,-0.08633673186139156,-0.17709403039226082,93.066594,11.517824,5.051429,0.88696,1.299688,-0.048203,0.04786
