,EP,BP,SP,CFP,financial_leverage,debtequityratio,cashratio,currentratio,NI,GPM,ROE,ROA,asset_turnover,net_operating_cash_flow,Sales_G_q,Profit_G_q,RSI,BIAS,PSY,DIF,DEA,MACD,AR,ARBR,ATR14,VOL5,VOL60,Skewness20,Skewness60
000001.XSHE,0.11613053071652536,1.119444755401321,0.5684402000909504,-0.09165734816960276,11.727655347589788,,,,0.204291,,0.083146,0.00709,0.034704,2.104469,0.183566,0.141338,48.343430150919964,-1.3246471226927545,45.0,-0.1068440975911038,-0.04376588088465383,-0.12615643341289995,105.013569,-12.495703,33.409286,0.2791,0.469808,0.260666,-0.166695
000002.XSHE,0.13426964029163366,0.6495193556767991,1.2645422357106728,0.12102727954881029,6.347041869902737,0.730720758161635,0.136304,1.145731,0.14799,0.357569,0.206721,0.031243,0.211113,-2.364301,0.165167,0.072136,48.17063550335807,0.5723437831217348,45.0,-0.2741216041541179,-0.37092204784383587,0.19360088737943593,76.341083,0.995708,67.195,0.587,0.777437,0.24512,0.095815
000063.XSHE,0.030463100046913175,0.2481759070829404,0.5413892046992583,0.03630567929741249,3.309957470438363,0.536518972503098,0.367657,1.372818,0.060837,0.369976,0.122747,0.037599,0.618033,0.477393,0.122594,-11.316069,36.77411127688099,-9.38391139996023,50.0,-1.5287627040126708,-0.8430535975907305,-1.3714182128438805,58.457078,-7.017766,20.548571,1.9814,3.405747,1.210874,-0.164644
000069.XSHE,0.2501000400160064,1.4128284826222097,1.2300123001230012,-0.1320986512727705,4.194970273916791,0.9591957626273222,0.219312,1.494915,0.235362,0.567718,0.177021,0.034382,0.146083,-15.241293,0.185015,0.204668,37.467811959281,-4.779211339269502,35.0,-0.1715329472773357,-0.11470960888427296,-0.11364667678612547,71.960004,6.150342,5.402857,0.48734,0.596248,-0.111756,0.892234
000100.XSHE,0.03181612823172323,0.4304037186881295,0.8385744234800839,-0.06388755789809934,2.623458638384992,0.996504937852007,0.430716,1.313561,0.049348,0.074964,0.073923,0.016915,0.341937,5.633517,-0.496517,-0.31775,52.785715012764115,1.8799272286234001,60.0,0.1129485520202076,0.07780790435184806,0.07028129533671906,152.217454,28.770052,0.762857,2.67992,4.227425,0.388085,-0.084371
000157.XSHE,0.08764088271897075,0.7987220447284346,0.864528399757932,-0.006630996327091134,2.4486959445449767,0.506101380309518,0.179751,1.826566,0.100193,0.301155,0.109726,0.043217,0.431343,0.310996,0.382884,0.692307,47.941593740771914,-3.881700554528634,65.0,0.040776678680453315,0.13487953258266214,-0.18820570780441764,80.898876,-32.817938,13.236429,0.66874,0.858075,-0.093711,-0.4059
000166.XSHE,0.05417793116152067,0.7845598619174643,0.2480650922802143,0.13176445785513816,4.810217987015124,,,,0.220752,,0.069056,0.014233,0.064475,9.881507,0.50294,0.159576,44.41950161547539,-1.373895976447499,55.00000000000001,-0.014733852633515454,-0.010113496235411924,-0.00924071279620706,95.035461,1.373489,0.100714,0.12286,0.213593,-0.279333,0.007314
000333.XSHE,0.05541670592016669,0.256601062328398,0.634799720688123,0.03877922984449529,2.7035701830379466,0.44670641911250536,0.240793,1.539073,0.08979,0.28181,0.215963,0.078053,0.865265,1.593979,-0.015501,0.044373,62.261268964303994,2.715429288965609,65.0,1.8523621734477658,1.7737075154763697,0.15730931594279207,122.195501,-97.247248,6.417143,0.29024,0.434797,0.107943,-0.26227
000338.XSHE,0.08291117725580585,0.45856834961250975,1.6252234682268814,0.046333835283215566,3.2255893324288762,0.8116588894790525,0.31708,1.197491,0.066168,0.219854,0.180805,0.047367,0.715852,-4.59984,0.017507,-0.105455,46.10657864714964,-3.4685726298087,40.0,-0.08813914444132465,0.07784906769901406,-0.3319764242806774,74.96189,-33.246727,6.414286,0.9684,1.26578,1.729754,0.271297
000413.XSHE,-0.12000480019200768,1.9331142470520009,0.8761938140716726,-0.5766347595433052,2.2177259753088125,0.18018681021397992,,1.370369,,,0.016153,0.007627,,-0.478888,,,43.57892622951885,0.23606319230070638,50.0,-0.08941618921145444,-0.11656360230842155,0.05429482619393422,126.580227,40.428429,0.571429,1.19314,2.045688,1.906315,0.732018
000415.XSHE,0.05047063870593282,1.9984012789768186,2.135383301302584,1.21197430614471,5.389946521102581,3.905613949784253,1.088145,1.605886,0.057742,0.351862,0.025257,0.007938,0.13748,10.690885,-0.026361,-0.374444,56.66809566399687,7.067879636109183,50.0,0.04182596822646811,-0.02624722189537944,0.1361463802436951,135.513608,0.103341,2.56,1.01506,0.727313,2.115813,1.447464
000423.XSHE,-0.039411041397357884,0.418025248725023,0.09006169225919755,0.0021337744271829207,1.130467347998523,0.005580562047686617,1.131242,6.232586,-0.43692,0.328732,-0.094279,-0.082863,0.189653,-2.576352,-0.696494,-1.491682,70.24475523912112,10.280373831775707,65.0,2.2854604554955458,1.5541860199402042,1.462548871110683,212.640475,34.32915,13.11,0.8783,1.077713,0.279581,0.718611
000425.XSHE,0.06912904318491328,0.6343567622430855,1.2743723716069837,0.08132792231556861,2.4358066332755666,0.20815469827813768,0.374978,1.582453,0.054711,0.178261,0.093917,0.038365,0.701222,0.198536,0.219717,0.238036,49.74351210663194,-3.325526932084297,40.0,0.10298180375841692,0.187585627963525,-0.16920764841021613,93.163965,-7.93226,9.398571,1.47802,1.659867,1.294295,1.163546
000538.XSHE,0.031151774560837855,0.3478018920422927,0.26989824836036813,0.06966893322929439,1.3105275801933876,0.05069338675546066,1.27258,4.563018,0.15152,0.286437,0.117916,0.089446,0.590326,0.384708,0.113018,0.385303,50.46996576071842,-2.1609935516476497,45.0,0.2663988960604726,0.7679870230593508,-1.0031762539977565,95.875265,-13.671388,38.674286,0.75218,1.038595,0.827423,0.460576
000568.XSHE,0.03869414983148698,0.16871657302896864,0.12165598121631649,0.008991576690955913,1.4007839115357001,0.19124230826145636,1.760348,3.818691,0.316715,0.824788,0.229346,0.16179,0.510838,-0.185271,0.097111,0.221492,54.00325839673118,-0.5415593724282582,50.0,2.0945642277662557,2.6014681565833406,-1.0138078576341698,139.291023,-4.961478,85.832857,0.7127,0.820757,-0.023887,-0.049425
000596.XSHE,0.0258678000212116,0.12703574785944766,0.13298756566261055,0.0362948740749344,1.5296298320207058,0.019096496284637398,1.102734,2.341921,0.198729,0.763594,0.203627,0.12949,0.651592,2.563905,0.023999,0.025089,60.74495155534617,0.8990282935905338,65.0,7.597904172500421,8.396466689395945,-1.5971250337910483,124.772749,-26.542214,17.101429,0.59508,0.763263,-0.12459,-0.148336
000625.XSHE,0.00170441055432374,0.9435742592942064,1.3970382788488405,0.03201567487441852,2.1373185750706445,0.1784206748677211,0.291867,1.080367,0.00117,0.159757,0.001806,0.000812,0.694259,6.584519,0.061897,-1.028274,45.72222443278416,-4.103098644935105,45.0,-0.007047387683662976,0.028472397926768048,-0.07103957122086205,91.422007,-43.183751,2.754286,0.70286,0.919783,1.834271,0.079192
000627.XSHE,0.07578455965381613,0.8769622029290537,1.8681113394358304,0.2354159800367249,6.328719475768834,4.991763956024198,3.414404,3.394811,0.066687,,0.086419,0.013872,0.20801,13.276126,0.192919,0.265043,29.63955068616475,-7.987470634299113,35.0,-0.19812674008391795,-0.1386048162687823,-0.11904384763027132,92.760426,47.078887,4.581429,0.70736,0.436055,-1.989135,-0.489452
000629.XSHE,0.04418210094726424,0.5650355972426263,0.6979828296223912,0.0808217960219512,1.3004120524561402,0.09191487886646775,1.467468,2.936792,0.066353,0.161343,0.078194,0.06103,0.919783,-0.026963,-0.274775,-0.775712,37.02260858143681,-2.2177419354838728,35.0,-0.08582467195567123,-0.08836172448362396,0.00507410505590547,59.253247,-2.895514,0.322143,0.21268,0.536097,0.443161,-0.175428
