,EP,BP,SP,CFP,financial_leverage,debtequityratio,cashratio,currentratio,NI,GPM,ROE,ROA,asset_turnover,net_operating_cash_flow,Sales_G_q,Profit_G_q,RSI,BIAS,PSY,DIF,DEA,MACD,AR,ARBR,ATR14,VOL5,VOL60,Skewness20,Skewness60
000001.XSHE,0.11134741506975915,0.5841462702260646,0.3118373456405139,0.3696447713747089,21.001152403074464,,,,0.357063,0.4401,0.190618,0.009077,0.02542,8.003917,0.152795,5.556996,37.54446071592629,-4.109589041095854,35.0,-0.1306890743464706,-0.12000878845899242,-0.021360571774956344,66.444721,-13.098502,13.4,0.79232,1.364558,0.497823,-0.261616
000002.XSHE,0.0624484800039967,0.4453946196329948,0.4615739672282483,0.03428908441286801,3.809236770046487,0.606191773268038,0.149418,1.652441,0.157863,0.338604,0.140209,0.035042,0.221979,18.078261,-0.130769,0.160362,43.975345411331304,-4.19847328244276,35.0,-0.02397962946939991,-0.020171494529751706,-0.007616269879296408,97.789334,-4.490955,36.992143,0.97572,1.315047,1.788886,0.507181
000009.XSHE,0.017136492160054837,0.13230663385462146,0.17210222872386197,0.03730104554830672,2.609739548011519,0.7515149923531412,-0.019055,2.209726,0.138416,0.396089,0.12952,0.044609,0.322285,-7.895037,-0.027536,0.171964,49.93040979756749,-3.016944482711098,45.0,0.013494858602340898,0.21520998500301933,-0.40343025280135686,80.719125,6.389366,3.833571,2.22288,3.462303,-0.183144,0.233388
000012.XSHE,0.03159537696444256,0.14536785335290953,0.17579944798973332,0.004265345433265258,1.8340470310420167,0.1600437983736302,0.035589,0.417835,0.198231,0.35647,0.217347,0.124209,0.626588,1.512244,0.585932,1.767415,42.063894772437585,-12.183508081131823,35.0,-0.35019893910991584,0.154330208340052,-1.0090582948999356,74.411836,2.489981,18.554286,3.01234,4.51199,-0.107314,0.329912
000021.XSHE,0.02297482648262299,0.2479297862845242,1.3468013468013467,0.017087182221128643,1.518543826019701,0.004564877387429691,0.06386,1.954442,0.017779,0.026672,0.092667,0.0586,3.29596,1.657622,0.784142,0.375609,36.92687453432965,-8.617959737615914,30.0,-0.5416021169621494,-0.3090507955871458,-0.46510264275000723,66.910569,-21.481264,5.15,0.53846,1.708272,0.01282,-0.342494
000024.XSHE,0.07703626096803766,0.6420133538777606,0.5270092226613966,0.032693734899581196,2.6530542289269756,0.5341097131207593,0.022408,2.134825,0.180012,0.395993,0.119988,0.047784,0.265447,-0.635845,1.077048,0.569765,42.55074593909981,-3.7354920511070184,45.0,-0.1267509466389516,-0.16081694894868598,0.06813200461946878,105.263158,24.93324,3.375714,2.36402,3.162847,1.565019,0.473637
000027.XSHE,0.07158503586410296,0.6156877231867997,0.5844876965339879,0.03216944288958804,1.8222287323553454,0.38988603436376584,-0.042512,1.123455,0.146382,0.219528,0.116267,0.063764,0.435599,1.681124,0.308135,-0.086019,37.38540035674396,-6.199893105291316,35.0,-0.09577579676565318,-0.057047121794546705,-0.07745734994221294,80.507386,-11.074073,2.081429,0.87286,1.967695,0.366583,0.144356
000031.XSHE,0.03391693065344359,0.452755014261783,0.18793813076735139,-0.06272069845769802,2.6774074215362593,0.6242049795309695,-0.02206,1.877633,0.173312,0.359496,0.074914,0.024435,0.140989,-19.128916,1.129267,1.057447,38.24444027654587,-5.09045014724443,50.0,-0.15931656138302674,-0.1379715624186234,-0.04268999792880668,80.090988,4.042703,3.622143,0.47086,0.839083,0.621903,0.011906
000039.XSHE,0.040977224858423686,0.25586572166926796,0.731368390258173,0.03240325199036975,3.0868751843259363,0.26769048309234067,0.025416,1.142008,0.06235,0.162355,0.160149,0.047502,0.761859,-0.76784,1.474373,2.797847,59.39206941887062,1.027676580936328,65.0,0.4441725634380642,0.6228870137198761,-0.35742890056362375,173.941157,30.113819,23.062143,1.2849,1.679635,-0.050681,-0.033555
000046.XSHE,0.017967385601655873,0.3814464449191334,0.12380681185078804,-0.03500150506471778,2.3757344702870156,0.9879789953699425,-0.182035,6.07187,0.142734,0.454515,0.047103,0.016382,0.114775,-5.620211,0.578169,0.742624,44.297248691538705,-2.972144475543114,50.0,-0.052622818486792955,-0.05980604041425503,0.014366443854924152,110.624006,17.66854,5.235,0.79566,1.7934,0.820457,0.078127
000060.XSHE,0.016912346689577258,0.1219779951696714,0.27066529529583716,0.004239326964451124,2.366738588983998,0.3361749862451398,-0.004087,1.132673,0.081662,0.200156,0.138651,0.063447,0.773889,2.445599,0.4616,-5.266907,51.60742186258397,0.12447908210205191,45.0,-0.005964480745008771,0.06522938321273201,-0.14238772791548157,129.03977,-0.924013,18.984286,1.83928,3.371182,0.758494,0.193656
000061.XSHE,0.018576207964363402,0.2298058140870964,0.0992950054612253,0.0525955924893494,1.9990494813015125,0.2081862493711066,0.057319,0.998864,0.435322,0.862653,0.080834,0.037855,0.086958,17.704504,-0.660433,0.559862,35.7546576543368,-8.184937101780756,30.0,-0.6175630621318042,-0.4864384666945298,-0.2622491908745489,49.870147,-3.764913,7.374286,1.17674,1.805197,0.191489,-0.37131
000063.XSHE,0.033573608457863446,0.2738000711880185,0.8112932013629727,0.015691738927124426,3.3812868378271324,0.4076958048607472,-0.074286,1.35848,0.045166,0.332995,0.122622,0.037657,0.833748,-4.478923,0.117618,0.269708,47.2746146311322,-3.465997021636925,45.0,-0.14385248420132157,0.127153221095507,-0.5420114105936571,106.056368,-4.958457,12.172857,0.6401,1.112965,0.197146,-0.054886
000069.XSHE,0.06373851909924724,0.3131360576170346,0.3575387035646609,0.013673699050088127,3.3939472898757157,0.6967742126509056,0.024194,1.213915,0.172146,0.484107,0.234546,0.064296,0.3735,-0.244728,2.897106,1.11922,46.25527851774989,-1.6393442622950738,50.0,0.028199640690726113,0.003914849141708231,0.048569583098035767,109.853723,-8.326838,7.722143,1.1102,1.872427,1.411236,-0.278148
