,EP,BP,SP,CFP,financial_leverage,debtequityratio,cashratio,currentratio,NI,GPM,ROE,ROA,asset_turnover,net_operating_cash_flow,Sales_G_q,Profit_G_q,RSI,BIAS,PSY,DIF,DEA,MACD,AR,ARBR,ATR14,VOL5,VOL60,Skewness20,Skewness60
000001.XSHE,0.14259639516313027,1.1128421989761852,0.667779632721202,-1.6485328058028355,14.080947192122203,,,,0.213537,,0.115241,0.008184,0.038327,-18.6314,0.189872,0.045588,53.62838765450615,1.070549903584024,55.00000000000001,0.0006670500841252647,-0.030061787811849545,0.06145767579194962,138.379617,26.073218,6.844286,0.2375,0.412017,0.386047,-0.227944
000002.XSHE,0.08553734560509119,0.4398117605664776,1.0206164523372117,0.12196311835301006,5.266569951988167,0.4127102616738658,-0.00205,1.202724,0.118885,0.280337,0.194488,0.036645,0.30824,5.90459,0.430859,0.305352,39.787249961660066,-1.0674987682706496,45.0,-0.5528571409803558,-0.7638996776302469,0.4220850732997823,138.939813,23.83158,59.315,0.1703,0.641085,2.176598,0.901694
000008.XSHE,0.012537455648750641,0.23732111920639817,0.06291286568103177,0.04273741703598918,1.2231772822133378,0.009695953635340699,0.301396,3.023886,0.199061,0.501984,0.052829,0.042756,0.214788,-0.270664,0.826589,2.042742,33.20464079604318,-5.150718639897094,40.0,-0.3579377095194669,-0.2682366820743574,-0.179402054890219,49.190308,-6.541771,5.922857,0.28806,0.913313,-2.254742,-1.212119
000009.XSHE,0.0156328164082041,0.222000222000222,0.2919622784736212,-0.021854197535720685,2.6774595925149067,0.5351380735853035,-0.08346,1.468661,0.082614,0.323874,0.070419,0.025287,0.303801,0.033068,0.238899,-0.463055,36.80293027363741,-5.800633682671205,40.0,-0.3182117735439727,-0.17749592971328992,-0.2814316876613655,93.705098,8.974266,2.103571,0.69326,1.965492,-0.969932,-0.463498
000027.XSHE,0.05078874927626033,0.7785130400934216,0.41238813971710175,0.03464511278716468,2.4623424406790235,0.7848206657401567,0.026866,0.969257,0.148465,0.300576,0.071895,0.027207,0.183256,2.032916,-0.05056,-0.321497,45.79824938723973,-1.1698265429608854,55.00000000000001,-0.04067860135473467,-0.019845980192751488,-0.04166524232396636,98.70639,5.159234,1.995714,0.20888,0.357148,-0.208624,-0.470698
000039.XSHE,0.001268561593232173,0.5490282200505107,1.0271158586688578,-0.0007326868300128454,3.389646594288087,1.1174305253673957,0.029682,1.053593,0.001165,0.200185,0.002144,0.000479,0.411453,-1.037706,-0.264091,-0.980813,56.42295238116205,2.610765031147192,55.00000000000001,0.12294911546890042,0.08130447011353392,0.08328929071073299,133.9058,7.699932,8.723571,0.46696,1.065087,2.02281,1.428615
000060.XSHE,0.009932636856836931,0.28631964725419456,0.6237524950099801,0.020835112999235354,2.0088939832783534,0.27768641445640546,0.015732,0.912084,0.019688,0.072186,0.034691,0.019884,1.008396,3.301405,-0.120725,0.898905,50.41455430370216,2.6665642050257397,55.00000000000001,-0.11709313874327609,-0.16509588409352757,0.09600549070050296,119.348827,7.186808,9.174286,1.3925,2.662082,0.298636,0.727734
000061.XSHE,0.009382068802463357,0.24775779198255785,0.09495323553150074,0.01867448505107472,2.657500038263423,0.6511307680968527,0.015472,0.495823,0.105366,0.409253,0.037868,0.011904,0.112974,1.396525,0.11936,1.117766,38.223095106566454,-4.149671927646746,55.00000000000001,-0.3548550751649806,-0.233785580694374,-0.24213898894121322,67.093713,8.485448,6.022143,0.2592,0.616992,-1.465542,-0.850378
000063.XSHE,0.054945960647702984,0.5027652086475616,1.6380016380016378,0.08158203889831615,2.910821674021012,0.19520631499850322,-0.045741,1.355949,0.041328,0.298922,0.10929,0.032157,0.778085,-1.039487,0.131953,0.135749,47.55097393834154,-0.0625043405791846,50.0,-0.2867203523388131,-0.2951496531619449,0.016858601646263627,86.440678,4.407581,4.747857,0.45762,0.953885,-0.727353,-0.175139
000069.XSHE,0.08883834973881526,0.6959910913140311,0.5935422602089269,0.02948139281892234,3.0515608948732784,0.5893900585982547,0.085766,1.511452,0.163125,0.505798,0.127646,0.040676,0.249353,8.20816,0.168812,0.045442,45.27265459425925,-0.19604348600962612,40.0,-0.05838980295810359,-0.06749058015255605,0.018201554388904917,82.466019,10.485785,3.425714,0.1791,0.486677,0.108567,0.61255
