,EP,BP,SP,CFP,financial_leverage,debtequityratio,cashratio,currentratio,NI,GPM,ROE,ROA,asset_turnover,net_operating_cash_flow,Sales_G_q,Profit_G_q,RSI,BIAS,PSY,DIF,DEA,MACD,AR,ARBR,ATR14,VOL5,VOL60,Skewness20,Skewness60
000001.XSHE,0.06772727580578526,0.688752668916592,0.35947947372205047,0.23386889309852896,12.271720891657123,,,,0.188404,,0.079444,0.006474,0.034361,-7.175958,0.112962,0.025998,51.72929314849459,2.214833485279135,55.00000000000001,-0.23820054822358117,-0.24235774920699588,0.008314401966829421,93.888467,-0.697753,91.267143,0.37268,0.64982,-0.007399,0.492642
000002.XSHE,0.11911568515342098,0.6441638752898737,1.2025012025012025,0.07437985793447134,5.342880155124723,0.5769418903883384,0.142369,1.174494,0.141485,0.292454,0.184915,0.031724,0.224223,0.914765,0.139219,0.075574,52.567168750144454,-0.6766102201786752,40.0,0.1140537677951805,0.41167658927600403,-0.5952456429616471,137.578917,33.351974,152.741429,0.60874,0.984297,0.033968,1.24067
000066.XSHE,0.016662723155519858,0.18078932619818125,0.2563313852148057,0.027697608588474473,3.2113420996063162,0.9381408522312439,0.371032,1.726521,0.074881,0.252894,0.0986,0.031521,0.420949,-12.162589,0.02433,-0.179879,43.58547813706842,-1.4469824318533904,55.00000000000001,-0.6128042490641636,-0.6653482717109052,0.10508804529348303,124.848485,41.629376,4.817143,0.74032,2.20374,-0.749456,0.248662
000069.XSHE,0.15178191973772084,0.9284189026088572,0.9795278675678324,0.29205607476635514,4.136680295267564,1.051594176557939,0.272663,1.617667,0.192052,0.498642,0.161809,0.034436,0.179304,3.153753,0.363899,0.096258,68.64935231942208,11.46099459331,75.0,0.6288414420281931,0.5666009291159521,0.12448102582448217,255.89665,22.261592,23.569286,1.54574,1.209938,-0.366862,0.659818
000100.XSHE,0.033485244726911084,0.25851149083576763,0.5862695667467902,0.004354708419610994,2.8638316524343392,1.075259290867201,0.330528,0.924975,0.065927,0.136089,0.128656,0.01964,0.297304,2.042847,0.023276,0.384793,51.74462716809264,-0.23304150658181957,60.0,0.18602534846772212,0.24580534898067055,-0.11956000102589687,107.969639,17.360944,1.758571,3.48886,4.629325,0.067275,-0.206872
000157.XSHE,0.06609603754254932,0.42435815828559303,0.5910864168341412,0.04550915644227618,2.428115157269285,0.44772119783854736,0.236998,1.730533,0.112968,0.285927,0.155757,0.063257,0.559957,2.135575,0.503414,0.720477,49.739107706408625,-0.9706006470670849,40.0,-0.266759171650758,-0.05979787654482146,-0.4139225902118731,83.168928,18.817154,41.087857,1.3459,2.582175,-0.38108,0.011217
000166.XSHE,0.0668431325365632,0.7613826709304097,0.25312610742672,0.13434179238819405,5.4514492431912425,,,,0.267819,,0.087788,0.016037,0.059881,4.23819,0.195816,0.357207,45.8798442440913,0.022784233310516232,50.0,-0.03597823638257669,-0.055216882540323926,0.038477292315494474,129.268293,24.920467,0.1,0.17324,0.298382,0.257695,0.122767
000333.XSHE,0.04302722332419722,0.19494697442295697,0.47555640098915736,0.011259245247754061,2.917226259586029,0.38274452515176355,0.194183,1.331706,0.091193,0.258536,0.220711,0.071655,0.782034,0.816952,-0.002793,0.007646,41.36283138783243,-2.402730375426609,45.0,-3.5754576256962167,-3.4544547278021005,-0.24200579578823245,71.853763,2.155012,11.537857,0.43008,0.592838,-0.219095,-0.534756
000338.XSHE,0.06031617740194097,0.33542414382987285,1.2938284383490748,0.06844814368634322,3.3661440402609286,0.8280679158411782,0.445528,1.232816,0.05709,0.193115,0.179819,0.041643,0.729422,9.839094,0.132657,-0.053092,45.904916791448585,-2.535746201966045,45.0,-0.6754576203019589,-0.33458635485885435,-0.6817425308862091,72.960319,15.439,15.262857,1.35264,2.354687,-0.368239,0.723814
000425.XSHE,0.05104072028664469,0.5120327700972862,1.1305822498586773,0.06119539076316771,2.6729962763068023,0.32720808463122936,0.345394,1.593446,0.045449,0.171704,0.093564,0.034736,0.764276,0.536849,0.254822,-0.146051,61.71944466791855,9.255725190839692,55.00000000000001,0.323195834280936,0.27207770896807293,0.10223625062572617,130.622174,23.53989,16.083571,2.62216,2.215758,0.45247,0.601008
