,EP,BP,SP,CFP,financial_leverage,debtequityratio,cashratio,currentratio,NI,GPM,ROE,ROA,asset_turnover,net_operating_cash_flow,Sales_G_q,Profit_G_q,RSI,BIAS,PSY,DIF,DEA,MACD,AR,ARBR,ATR14,VOL5,VOL60,Skewness20,Skewness60
000001.XSHE,0.10887316276537833,0.6935293709688606,0.3264986287057594,0.44992351300278954,18.07910362793869,,,,0.337673,0.433389,0.15698,0.008793,0.026039,-17.618083,0.504783,0.397591,61.38426987698102,1.171278221015107,40.0,0.2534744045043995,0.3977754417143598,-0.2886020744199206,159.047967,34.509327,44.072857,2.53772,1.623952,1.094853,1.176867
000002.XSHE,0.09512304165437993,0.4837227301310889,0.7814942169427945,0.1326752640237754,4.611759670762792,0.44838888146392597,0.08308,1.396177,0.151893,0.365555,0.196648,0.041348,0.272217,0.965898,0.436505,0.350269,55.36051119143054,-3.6209449454839158,45.0,0.18061598346278362,0.4196713980690172,-0.47811082921246717,125.896224,-72.846548,55.372143,0.9597,0.827303,0.269304,0.904811
000009.XSHE,0.0098405825624877,0.28627046833848624,0.4562876437306077,0.004820680332974032,2.8985237427397568,0.7557313609968604,0.04619,1.855646,0.048111,0.348513,0.034375,0.016946,0.352229,28.681941,0.297041,-0.502786,46.13466705532301,-5.185185185185164,50.0,-0.0025176315537134286,0.08014120626549613,-0.16531767563841912,100.745474,-7.426807,1.297143,1.51178,1.643257,0.30321,0.212926
000012.XSHE,0.02629309438169159,0.38768705900597034,0.3940576112227608,-0.01825797051702921,2.004250314596403,0.4244634924820878,0.041452,0.476284,0.082806,0.229137,0.067821,0.039515,0.477198,3.414693,-0.195407,-0.652996,47.33739076311926,-3.699613473219206,35.0,0.017636280962266326,0.09795287024330708,-0.1606331785620815,93.905222,-5.047946,5.685,1.035,1.455873,0.199165,0.455741
000024.XSHE,0.06074227054607301,0.46696240952603313,0.389969972312132,0.10658708164570455,3.3881338736171966,0.4496598393046146,-0.015428,1.640822,0.194551,0.537136,0.130082,0.038568,0.19824,1.058219,0.126862,0.064385,48.626131174687536,-1.8692926459221701,35.0,-0.5094955534035996,-0.15936470201945202,-0.7002617027682952,105.868405,1.454044,5.689286,3.015,2.55449,0.105696,0.065356
000039.XSHE,0.054401044500054396,0.5310956503266239,1.498800959232614,0.022862159468134722,3.0657329654079692,0.7458185090813189,0.084092,1.466625,0.035973,0.176978,0.102432,0.029464,0.819052,4.671601,-0.166506,-0.470721,49.73215763746838,-6.089264974282382,45.0,0.06967383743764533,0.2676611105401166,-0.39597454620494255,140.288673,-11.764318,11.114286,0.7221,1.183077,-0.641305,-0.135435
000046.XSHE,0.013820630331308151,0.33464962184592734,0.08620615339522936,0.032193780805424003,3.1835356472202974,1.160556191116212,0.127476,3.015028,0.154157,0.584383,0.041298,0.011813,0.076626,-5.637899,0.270537,2.323741,53.114506743214754,-1.4036288942143027,30.0,0.06172765451852946,0.15250212625705795,-0.18154894347705697,133.280255,4.795922,6.985,0.29048,0.31015,1.71637,1.422646
000059.XSHE,0.0022242848757303164,0.8299443937256203,4.081632653061225,0.23608848596453955,4.433036052929292,1.0396327713988238,0.137892,0.679528,0.000554,0.120327,0.00268,0.000609,1.099392,3.596931,-0.041226,-0.976326,52.6051286829877,-1.6445792751077721,55.00000000000001,0.1068305399164684,0.22605036910200496,-0.23843965837107312,106.616257,27.141709,0.424286,0.74338,1.15195,-0.046452,0.763178
000060.XSHE,0.02541108787408298,0.2596593269630245,1.0297600659046442,-0.0070535143077010976,2.055043810023292,0.33038332515095126,0.022781,1.007302,0.03118,0.113891,0.097863,0.047734,1.527969,2.400564,0.867677,-0.44957,54.77045867055388,-2.0609776869357788,45.0,0.18141742472482747,0.3395950169264165,-0.3163551844031781,132.256523,5.05944,11.495,1.44742,1.157678,0.357852,0.647347
000061.XSHE,0.010988346858156925,0.32268473701193934,0.17009695526450078,-0.07037050068611238,2.4159719983674037,0.29732606329611244,0.015151,0.713405,0.110757,0.33435,0.034053,0.018039,0.162873,-2.772025,0.007923,-0.047271,48.50425903335313,-3.7384865450604843,45.0,0.04902126413926311,0.14958528681040587,-0.2011280453422855,87.562109,-12.062592,4.172143,0.95772,2.10714,0.550291,1.414947
