,EP,BP,SP,CFP,financial_leverage,debtequityratio,cashratio,currentratio,NI,GPM,ROE,ROA,asset_turnover,net_operating_cash_flow,Sales_G_q,Profit_G_q,RSI,BIAS,PSY,DIF,DEA,MACD,AR,ARBR,ATR14,VOL5,VOL60,Skewness20,Skewness60
000001.XSHE,0.06750963700068185,0.669702652022502,0.34826217176290314,0.2335411849879726,12.272585523473165,,,,0.193845,,0.081886,0.006672,0.03442,-1.140249,0.097596,0.041472,61.334632641479494,7.914615850288205,40.0,0.5899937639357695,0.1442424034202456,0.8915027210310478,91.807694,-60.153164,91.525,0.32088,0.52655,1.291488,0.414375
000002.XSHE,0.12698412698412698,0.6896551724137931,1.3248542660307365,0.06608992194780218,5.36772284597819,0.5781933293590935,0.14245,1.176263,0.136934,0.277531,0.184125,0.031121,0.227271,13.061685,0.180531,0.092335,39.49333148281102,-2.972045926017203,40.0,-0.792981177669354,-0.6316020381149795,-0.3227582791087491,51.709101,5.58574,78.160714,0.6684,0.82752,-0.443939,1.608964
000063.XSHE,0.042388866987974276,0.34312379906670326,0.7952286282306162,-0.003923144039018021,3.207148360491488,0.6361118435605857,0.385582,1.47812,0.05646,0.309948,0.123539,0.03855,0.68278,1.094696,0.179834,0.094954,47.201139515496784,1.3001778804716775,35.0,-0.26702363209841096,-0.6439908608737563,0.7539344575506908,123.28657,-11.40865,11.672143,0.96126,1.19691,1.515979,-0.390254
000066.XSHE,0.03028669384392661,0.25725457913150857,0.4738887309259786,-0.07104442407837622,2.965913282695811,0.6640060546728523,0.306439,1.530712,0.068118,0.224657,0.117732,0.037941,0.556989,10.539664,0.636989,0.357524,30.031354404868633,-8.986086555461583,35.0,-1.1255027957912542,-1.012028100045767,-0.2269493914909746,68.087731,15.13775,4.302857,1.3466,1.458615,-1.530021,-0.408827
000069.XSHE,0.16694769528706657,1.0246951531919255,1.0948105977665863,0.08351846593281775,4.130409805281697,1.1033889495932019,0.215186,1.642064,0.189956,0.483818,0.161271,0.034336,0.180759,-3.48814,0.418733,0.145033,50.89782431347326,-5.0876442924326355,40.0,0.06277046848588164,0.33649504652295714,-0.547449156074151,93.764425,-37.599088,18.842857,1.13462,1.423772,0.339927,0.512117
000100.XSHE,0.05055356149840757,0.2771234585007621,0.7540340823405217,0.000894110014514982,2.9972140947119184,1.1076731492569574,0.285045,0.893776,0.084339,0.170351,0.181231,0.029234,0.346126,3.329493,0.609477,1.747994,48.24542909688147,-2.3025060424882335,45.0,-0.05825513846410857,-0.010790823725141983,-0.09492862947793318,100.822123,22.757179,0.863571,2.67542,3.704047,0.214665,-0.165734
000157.XSHE,0.0847077160258528,0.5412134004437951,0.7336757153338224,0.08882256803808712,2.3934373359412184,0.3857119947255049,0.359088,1.776729,0.116251,0.279945,0.156518,0.064522,0.555027,1.101356,0.731939,1.009516,43.77286004307634,-4.463511038272447,35.0,-0.26920783781452684,-0.18229423648244586,-0.17382720266416196,79.393899,4.228908,25.828571,0.94992,1.961965,-1.729218,0.336091
000166.XSHE,0.07253893527350805,0.8,0.2682691275887971,0.12970336839647725,5.41975542441698,,,,0.27433,,0.090675,0.01666,0.060728,-2.234159,0.131517,0.406143,43.36899553502575,-0.6428988895382785,35.0,-0.060351400530630706,-0.05462627739028184,-0.011450246280697726,96.153846,24.725275,0.08,0.1748,0.201568,1.452354,0.143095
000333.XSHE,0.05111481409542113,0.20801697418509352,0.5493298176225005,-0.009557031585989391,2.968377538194205,0.4579956852314668,0.150633,1.317968,0.094292,0.245455,0.245724,0.079273,0.836223,1.322369,0.1827,0.242896,49.468338705809295,2.171425342243203,50.0,-1.121217204771412,-2.0045800509396594,1.766725692336495,83.517022,-7.387437,11.746429,0.48512,0.55803,-0.009103,-0.491765
000338.XSHE,0.07298311170795078,0.3913587977457733,1.558846453624318,0.09951932167630347,3.258890448407606,0.7152747486139673,0.372257,1.225687,0.05827,0.18721,0.186489,0.046026,0.789884,-0.716299,0.331934,0.17294,42.23547399258001,-3.9904705181655844,45.0,-0.510795610347639,-0.4556492996533339,-0.11029262138861018,83.292935,-8.042537,11.249286,1.74806,1.977547,0.382593,0.75325
