,EP,BP,SP,CFP,financial_leverage,debtequityratio,cashratio,currentratio,NI,GPM,ROE,ROA,asset_turnover,net_operating_cash_flow,Sales_G_q,Profit_G_q,RSI,BIAS,PSY,DIF,DEA,MACD,AR,ARBR,ATR14,VOL5,VOL60,Skewness20,Skewness60
000001.XSHE,0.1333084490895033,0.8513536523071683,0.4266393617475148,0.5189682910374176,19.550754838923506,,,,0.312451,0.409751,0.156573,0.008009,0.025631,17.292437,0.236232,0.143897,54.58948124500529,0.18493205757015102,50.0,0.1277833768740555,0.18706053637225897,-0.11855431899640695,140.818214,40.528634,30.619286,0.98288,1.761455,0.357596,0.810529
000002.XSHE,0.14127286854559581,0.7074637424831978,1.2478163214374844,0.039426890716544316,4.88666688890139,0.3879400941997432,-0.001009,1.337643,0.141139,0.339164,0.199683,0.036851,0.261101,-1.414265,0.358914,0.245914,43.00230386631911,-2.268149575269291,35.0,-0.12616751137749738,-0.10667028217733188,-0.038994458400331,85.297708,-14.714004,24.630714,0.82772,0.880253,0.707082,0.713971
000009.XSHE,0.0336024892724053,0.26824753882883123,0.3222895449271626,0.022073934435999937,2.7213206195497137,0.2758332817417117,0.075933,1.369742,0.145508,0.359246,0.125265,0.04154,0.285485,-0.97188,-0.127092,1.640033,48.82423135974561,2.826666666666673,50.0,-0.08135102771861114,-0.14757299283303846,0.13244393022885464,65.969063,-22.558069,1.166429,1.15876,1.796828,-0.285225,0.646861
000012.XSHE,0.02628224502937041,0.3750234389649353,0.3867873443180939,0.006025595524669692,2.1115569584765836,0.371501979346025,0.059369,0.56563,0.084266,0.286976,0.070081,0.038735,0.459674,1.424601,0.041861,0.060226,53.267199608488035,3.6192888044739893,55.00000000000001,-0.01102932079092156,-0.039008839613310226,0.05595903764477733,92.824973,21.427955,3.968571,1.61096,2.370942,-0.229475,0.199485
000024.XSHE,0.11961579406944894,0.7094211123723042,0.8662508662508662,0.14478275347840563,3.6977218933021345,0.4997928859900025,-0.019342,1.566775,0.179736,0.451255,0.168609,0.047557,0.264591,1.962119,0.736646,0.604401,41.81228416602866,-3.7644098343931462,40.0,-0.5604139200178366,-0.478911959630473,-0.16300392077472725,86.603957,1.202733,3.895714,1.82994,1.778037,0.249098,-0.671132
000027.XSHE,0.08142394189587507,1.0722710701265281,0.8106355382619974,-0.010292682725996434,1.801370026434586,0.19328752000895544,0.018919,0.877532,0.108337,0.198047,0.075934,0.0397,0.366452,1.663097,-0.117635,0.200837,52.12292945426484,0.40485829959515107,55.00000000000001,-0.006062353645983176,-0.0014415194107324067,-0.009241668470501539,102.187966,1.298638,1.127143,0.79408,0.933715,-0.675057,0.098781
000039.XSHE,0.034756616790921575,0.5251825009190694,1.4310246136233544,-0.0789110278161373,3.0079092923927297,0.5585588751368284,0.003193,1.266101,0.027831,0.168585,0.06618,0.021624,0.776959,-0.284391,0.018395,-0.212109,59.76904089460701,7.109248010950463,50.0,0.20936501253182271,0.0995924489751397,0.21954512711336602,177.081712,2.431244,12.375,1.32808,1.457573,1.475318,0.655701
000046.XSHE,0.04179204279505182,0.3807203228508338,0.24294842204999878,0.23496792687798118,4.4803887664387565,2.5922287914750632,0.216056,4.850342,0.171385,0.552822,0.109773,0.023264,0.135742,-3.565124,1.574513,1.862216,49.9298477316841,1.2444122266521873,55.00000000000001,-0.027038106259182015,-0.04831896186009414,0.042561711201824254,85.637187,8.038919,4.311429,0.10844,0.147895,-0.592813,-0.211043
000059.XSHE,0.00793603555343928,1.0281719103434095,6.385696040868455,0.3696447713747089,4.544821556129622,1.15136589399021,0.054055,0.664086,0.001067,0.109672,0.007718,0.001446,1.354941,-2.448218,0.222045,-1.179132,61.60736168270474,6.003858812847555,55.00000000000001,0.19545868606294636,0.14159611896139626,0.1077251342031002,197.619048,56.655192,0.325,1.91014,1.418218,0.10483,1.081462
000060.XSHE,0.021744850275833425,0.39872408293460926,1.1515430677107323,0.0007341822633899427,2.089592712517505,0.29532456714384314,0.003374,0.867399,0.017978,0.101329,0.054536,0.019804,1.098581,3.012241,-0.278556,-0.583703,51.7001271403804,3.397341211225999,45.0,-0.04542065939415574,-0.08669598235864195,0.08255064592897243,90.258657,-28.943458,3.322857,0.49742,0.437492,0.952839,0.068498
000061.XSHE,-0.00028135863696596126,0.33521051220166265,0.14622662201880474,-0.03426265062717782,1.987179462256851,0.21921320527389418,-0.073066,0.657549,0.02873,0.37241,-0.000839,0.005034,0.175216,1.208065,0.228094,-0.681439,55.23235648904266,3.937637417549441,40.0,0.019480721920765554,0.009798203319518705,0.019365037202493697,82.432652,-9.598438,7.255714,2.0539,2.332967,0.90685,0.645063
000063.XSHE,-0.0105100418194564,0.38586201574317025,1.3947001394700138,0.0064597980925508195,4.445995739899395,0.7375457437771329,-0.025141,1.237901,-0.006605,0.270915,-0.027238,-0.005112,0.773946,1.491309,-0.119031,0.157032,52.53144404200012,4.080177800142556,55.00000000000001,0.09323808334714734,-0.12212408869660779,0.43072434408751026,91.371756,-27.750289,8.820714,1.20058,1.064608,-0.123314,0.430669
000069.XSHE,0.1297387062456213,0.5630313608467992,0.7363770250368188,0.06893746682384409,3.3619969260959945,0.6581593198714262,0.045217,1.32524,0.190535,0.534578,0.230431,0.063932,0.335539,4.384847,0.559659,0.622152,41.563539423925114,-3.0138227962836877,40.0,-0.14566266195969657,-0.1100734220901736,-0.07117847973904595,61.622985,-6.354175,6.0,0.84914,1.227853,-0.171882,0.150408
000100.XSHE,0.07843567882158237,0.6492241771083556,4.100041000410004,0.09026166857720531,4.48643203100901,1.1471613614260863,0.015367,1.248627,0.027515,0.176827,0.109673,0.026865,0.974449,1.329786,0.255495,1.127476,51.65559177803709,0.7025761124121916,35.0,0.0017558084033615362,0.005087249467273939,-0.006662882127824805,126.106195,35.434553,0.157857,1.86688,2.690975,-0.095601,0.152416
000156.XSHE,0.009015758644534782,0.03794634386976815,0.06346023264521287,0.009149825650072238,3.7567286103706308,0.9812989274399372,0.065734,0.589569,0.141604,0.432436,0.237592,0.062558,0.441779,2.891543,0.464814,1.92788,46.489586843394676,1.8718035255328633,55.00000000000001,-0.4858655673557273,-0.7176093187407085,0.46348750276996253,106.557377,16.299218,1.177857,4.22392,8.785788,0.505253,-0.08506
000157.XSHE,0.09432627458378531,0.9416195856873822,0.8574123295892996,-0.03364748871967941,2.117535012323222,0.34190899379753564,-0.086081,2.108086,0.113717,0.294109,0.10017,0.048398,0.425597,-1.291743,-0.275049,-0.537435,54.07583101328638,2.747909199522113,45.0,0.010888967957328965,-0.006062616670403851,0.03390316925546563,90.869167,-77.521415,7.305714,0.59298,0.960515,0.325244,1.025673
000338.XSHE,0.07996673383872309,0.6595435958316844,1.3435442697836895,0.04210845453550164,2.3102351378251575,0.43387654796402403,-0.017727,1.629918,0.064432,0.203002,0.121244,0.045397,0.704575,-0.040838,0.124697,-0.03994,61.43750631668389,6.56893149140116,50.0,0.05062640291225362,0.007301315611058083,0.08665017460239108,96.875,-17.20267,1.919286,1.25842,0.816527,0.967523,0.227174
000401.XSHE,0.009020003662121487,0.9186954524575103,1.1784115012962526,0.011001305855004988,3.2231758756880615,1.2018116756029242,0.00463,0.788315,0.000358,0.239546,0.009818,0.000121,0.339081,1.210505,0.0176,-0.980158,64.75547109722292,8.447327598364138,50.0,0.20071790962420888,0.13105014925790512,0.13933552073260752,131.146694,-7.011901,1.762857,1.08048,1.063758,0.613566,0.567951
000402.XSHE,0.14058963292046844,1.3046314416177431,1.1668611435239207,-0.0022362114642064165,3.4822935038547893,1.1557122377475701,0.131847,2.096853,0.147061,0.303757,0.107768,0.034873,0.237135,-2.264342,0.657853,0.513845,52.5002704147308,2.415966386554624,50.0,-0.006804625523937791,-0.04687521773112007,0.08014118441436456,75.731742,-4.29737,2.256429,0.5313,0.679373,0.708023,0.600644
000422.XSHE,0.0776777461025191,1.044932079414838,3.2144005143040824,0.20932325790718606,4.160768350641314,1.3834867590800293,0.079815,0.659547,0.040099,0.172229,0.074341,0.024364,0.607593,35.380156,0.015345,-0.359558,53.088081390370924,3.5697134624619644,60.0,-0.00017325171999882372,-0.09286300534476744,0.18537950724953722,109.366263,-6.643353,1.677857,1.14068,1.343363,-0.16751,0.053895
000423.XSHE,0.043236325431174255,0.17300439431161552,0.15058426695578847,0.02098609461370896,1.215960788978401,0.017860096997177954,-1.150782,4.630798,0.290816,0.670826,0.249914,0.205839,0.707798,0.641683,0.467941,0.181698,47.30211416244285,-0.7447894768454277,55.00000000000001,-0.44062145863056656,-0.3155832705826728,-0.2500763760957875,72.910038,-0.087575,6.524286,0.53854,0.983737,-1.677659,-0.018463
000425.XSHE,0.0944858082316036,1.1263798152737103,1.575299306868305,-0.01708207424211107,2.4959501511612636,0.4267947012472746,-0.036889,1.833294,0.061815,0.223726,0.08388,0.034059,0.550985,-0.523267,-0.203175,-0.362298,51.27480243760382,2.2393123727663267,45.0,-0.01734771439553251,-0.03389585041177821,0.033096272032491394,95.785155,-7.428163,1.815714,0.41762,0.557108,-0.07543,0.598365
000528.XSHE,0.03019214279675857,1.2183235867446394,1.5678896205707118,-0.04621285641665512,2.2986991580460336,0.5606056859913893,0.01613,2.033468,0.019294,0.196594,0.024783,0.010759,0.557624,17.345207,-0.118216,-0.463028,54.68340176399976,4.072398190045236,45.0,-0.022477462155920946,-0.0606462869664949,0.0763376496211479,94.733728,-4.358831,1.195,0.73086,0.992277,0.099282,0.284383
000538.XSHE,0.030742555690139634,0.11728967029873678,0.21105506426626705,0.012244952936523388,1.4914304297175893,0.02326885066050662,-0.04669,2.676747,0.144445,0.305028,0.26196,0.175644,1.215986,0.110641,0.171436,0.504279,49.03871969411712,2.709684363479819,60.0,-0.6984346882399421,-1.0559702307067602,0.7150710849336361,97.008387,38.221626,25.269286,0.20168,0.30523,-0.720477,0.174965
000539.XSHE,0.13645543365536816,0.8513536523071683,1.4180374361883152,0.06863889079552474,2.7359070848601164,0.8527245262286056,0.002356,0.62384,0.13291,0.262585,0.194725,0.080832,0.608174,1.887165,1.698553,7.223682,50.29568274883574,0.0606428138265414,40.0,-0.015617234046738648,-0.008148590677910416,-0.014937286737656465,83.406326,-25.634162,1.167857,0.38302,0.40549,-1.926776,-0.10933
000568.XSHE,0.14225560487083191,0.34236023143551647,0.4024954719259408,-0.012338230376969952,1.3394822632658145,0.0023829395501231243,-0.455252,3.120663,0.361084,0.599343,0.415519,0.314667,0.87145,0.480374,0.082758,0.040022,51.67667640889702,1.5883306320907569,50.0,0.03366247073879158,-0.02548989572393058,0.11830473292544433,136.050022,33.252948,16.745,0.48268,0.61476,1.147281,-0.163577
000581.XSHE,0.038447638161587736,0.3310381355932204,0.19823963206724288,-0.009406735975497335,1.3178194398525143,0.02211865392646748,0.080262,2.466439,0.202078,0.231085,0.116141,0.088161,0.43627,0.835637,0.092934,0.123496,58.15991484774472,2.9429075927015678,60.0,0.4353757631190156,0.43719371975915644,-0.0036359132802816774,109.496568,-1.205389,3.749286,0.95392,1.601968,0.430793,0.712554
000596.XSHE,0.06262721152340692,0.33444816053511706,0.3985969387755102,-0.1525320317266626,1.5340649059822984,0.004860573547968578,-0.16692,1.934378,0.157119,0.675074,0.187253,0.122064,0.776886,3.905814,-0.008773,-0.09615,58.13634159468247,5.208645643108293,60.0,0.832369881402446,0.6422757827190388,0.3801881973668144,140.851779,43.288001,3.653571,1.61754,1.309187,0.740451,1.051857
000623.XSHE,0.04999250112483127,0.640943468786053,0.10957343063453973,0.014932683462949025,1.135887258711217,0.06799615926389187,0.206878,3.407571,0.45904,0.65602,0.077996,0.068552,0.149338,0.371213,0.28883,0.217791,57.78537986726477,5.85316548745749,45.0,0.15044261957370253,-0.01946724179954315,0.33981972274649136,89.974642,-49.516167,8.373571,1.63876,1.56829,0.58149,0.385073
000625.XSHE,0.05376517522070605,0.31731928666624354,0.6734913793103449,0.05173225454338525,2.882049748544563,0.41624915257088496,-0.022092,0.854977,0.078903,0.180492,0.169434,0.058619,0.742921,-0.815946,0.372122,2.836485,54.983984684169485,2.4975024975024978,55.00000000000001,0.0453757618168904,0.04943376887021568,-0.008116014106650554,102.514648,1.71581,2.600714,0.96806,0.949243,-0.602313,0.696118
000629.XSHE,0.022064923831882934,0.7574609907589759,0.7711884013264441,-0.16150914141740422,2.324572350647547,0.3389400662865634,0.015585,0.461132,0.028764,0.25566,0.029129,0.012342,0.4291,7.301482,-0.444253,-0.418581,50.880725188451095,2.3378914865460736,40.0,-0.012667438743146686,-0.03207547393243134,0.03881607037856931,94.847328,0.0,0.377857,0.94756,1.257732,0.684902,0.175968
000630.XSHE,0.041907811196929,0.7234319612240468,5.020080321285141,0.03033198356006491,3.663925950955293,0.5113439687849968,-0.006822,1.027877,0.00743,0.032091,0.057928,0.012802,1.723009,-19.756003,0.070297,-0.439816,49.95253022411049,2.813852813852804,35.0,-0.029719320590176235,-0.0472058008965633,0.034972960612774134,98.866667,-1.603763,1.183571,0.54668,0.596482,0.992892,0.097821
000651.XSHE,0.10257462303826033,0.33353345340537655,1.1903344839900012,0.16230867864504714,4.023890272358881,0.044671889980107564,0.027803,1.049978,0.086824,0.299492,0.307545,0.074902,0.853652,1.085647,0.15195,0.410681,61.56907319790309,3.594578668238064,55.00000000000001,0.29290916759035035,0.2621727910636882,0.061472753053324336,152.222665,-5.290954,52.607857,0.47364,0.668753,-0.474726,0.920935
000656.XSHE,0.12186056713907947,0.7322252324815114,1.2312238364934744,0.0519318653926049,6.554690206351017,1.9167252148332574,0.000723,1.67369,0.094917,0.305082,0.166426,0.019522,0.205677,-16.429435,0.2147,-0.081633,39.087027924164666,-0.7184846505551814,25.0,-0.11723687702638319,-0.14190567381847302,0.04933759358417966,72.015915,16.686574,0.407143,1.87516,1.459757,1.085155,-0.108645
000686.XSHE,0.02896804245556302,0.4744283138817724,0.11040208439135331,-0.16602194810153903,2.5742375210601565,,,,0.263664,0.315027,0.061059,0.023538,0.089271,-8.01077,0.726486,43.877721,53.78540016115012,4.687128241732091,50.0,0.019845972607656748,-0.09186357352227678,0.22341909225986706,123.589744,4.425433,3.072143,2.16278,2.03584,0.842698,-0.808532
000703.XSHE,0.021792664589099307,0.5726392945083891,3.297065611605671,-0.05717062573249865,3.314647787806038,0.191110901164714,0.020229,0.699085,0.00789,0.016642,0.038057,0.010128,1.283555,2.711454,-0.079656,-0.671971,45.81390568762863,-1.6477857878475701,50.0,-0.09243724226723593,-0.06933894694587911,-0.04619659064271364,113.098464,21.776485,1.063571,1.61852,2.666407,-1.577748,-0.009681
