,EP,BP,SP,CFP,financial_leverage,debtequityratio,cashratio,currentratio,NI,GPM,ROE,ROA,asset_turnover,net_operating_cash_flow,Sales_G_q,Profit_G_q,RSI,BIAS,PSY,DIF,DEA,MACD,AR,ARBR,ATR14,VOL5,VOL60,Skewness20,Skewness60
000001.XSHE,0.14620096785040718,1.140901312036509,0.6846501437765302,-1.6903313049357673,14.080947192122203,,,,0.213537,,0.115241,0.008184,0.038327,-18.6314,0.189872,0.045588,40.350598967010285,-2.3974846063146615,30.0,-0.09000210176106105,-0.023656926709600522,-0.13269035010292105,77.648269,4.824409,10.185714,0.21162,0.437473,-0.03904,-0.000873
000002.XSHE,0.08607852082669812,0.4425953793042401,1.0271158586688578,0.12273552948107418,5.266569951988167,0.4127102616738658,-0.00205,1.202724,0.118885,0.280337,0.194488,0.036645,0.30824,5.90459,0.430859,0.305352,34.639652401445424,-7.844976250264736,35.0,-1.2910136900882598,-1.0210406847104008,-0.5399460107557181,76.187889,40.301172,98.447143,0.41742,0.822702,-0.409366,0.67561
000008.XSHE,0.011716873469483403,0.22178850248403123,0.05879516938888302,0.03994024938691717,1.2231772822133378,0.009695953635340699,0.301396,3.023886,0.199061,0.501984,0.052829,0.042756,0.214788,-0.270664,0.826589,2.042742,43.362963753097375,-2.1756391932666235,45.0,-0.21031387124651246,-0.1471724113890234,-0.12628291971497813,95.764659,18.262621,7.375714,0.4012,1.136952,-1.273856,0.861609
000009.XSHE,0.014350208221521294,0.2037821975872188,0.2680031088360625,-0.020061146374148405,2.6774595925149067,0.5351380735853035,-0.08346,1.468661,0.082614,0.323874,0.070419,0.025287,0.303801,0.033068,0.238899,-0.463055,50.4002008069087,0.3575825077671398,45.0,0.06118982777891091,0.0002944206479490608,0.1217908142619237,118.779174,-35.732104,2.357143,2.35528,2.038005,-0.365863,-0.105021
000027.XSHE,0.05652751476781323,0.7862253321802029,0.40676863000325414,0.03525024146415403,2.4623424406790235,0.7848206657401567,0.026866,0.969257,0.148465,0.300576,0.071895,0.027207,0.183256,2.032916,-0.05056,-0.321497,45.54651615160088,-1.770531159347783,25.0,-0.01761840938509529,0.007072945048880456,-0.04938270886795149,124.324324,30.217683,1.993571,0.19232,0.333138,-0.600484,-0.408673
000039.XSHE,0.001372712426218423,0.594106463878327,1.1113580795732385,-0.0007928415289758604,3.389646594288087,1.1174305253673957,0.029682,1.053593,0.001165,0.200185,0.002144,0.000479,0.411453,-1.037706,-0.264091,-0.980813,47.874285680039705,-1.4125108100317074,50.0,-0.04674082748025832,-0.0020587297639905267,-0.08936419543253558,87.684059,-24.579494,7.742143,0.49838,0.98648,-1.180468,1.546318
000060.XSHE,0.010689825103771478,0.30814741772463944,0.6713211600429645,0.02242343518057592,2.0088939832783534,0.27768641445640546,0.015732,0.912084,0.019688,0.072186,0.034691,0.019884,1.008396,3.301405,-0.120725,0.898905,41.75940277915547,-7.996866766360472,50.0,-0.22768741895481615,0.002488279429484111,-0.4603513967686005,90.74238,28.935707,9.107143,1.31736,2.681892,0.147711,0.843642
000061.XSHE,0.008964919373997609,0.23673681967756446,0.09073175157646418,0.017844173966420834,2.657500038263423,0.6511307680968527,0.015472,0.495823,0.105366,0.409253,0.037868,0.011904,0.112974,1.396525,0.11936,1.117766,44.39525830640369,-2.17252123436768,40.0,-0.11399101645934273,-0.026159509284703363,-0.17566301434927872,117.493473,26.855794,6.067857,0.30042,0.619132,0.000267,-0.391474
000063.XSHE,0.05219016006722093,0.47753211403466883,1.5559358954411078,0.0774905461533693,2.910821674021012,0.19520631499850322,-0.045741,1.355949,0.041328,0.298922,0.10929,0.032157,0.778085,-1.039487,0.131953,0.135749,48.57339257811276,-0.5447314774587881,45.0,-0.14114299561974697,-0.08051732498647242,-0.1212513412665491,94.502274,15.951388,5.95,0.57152,1.003197,-0.858101,-0.188921
000069.XSHE,0.08883834973881526,0.6959910913140311,0.5935422602089269,0.02948139281892234,3.0515608948732784,0.5893900585982547,0.085766,1.511452,0.163125,0.505798,0.127646,0.040676,0.249353,8.20816,0.168812,0.045442,45.24280135460382,-2.27565478746242,35.0,-0.045126708330092136,0.0014988562028169271,-0.09325112906581813,117.976503,34.543982,4.297143,0.24306,0.500692,-1.445963,0.599083
000100.XSHE,0.05062701558805809,0.6298419096806702,2.6881720430107525,0.2267265224685984,3.0606744530546504,0.7172126590235853,0.118076,1.185872,0.024554,0.160969,0.080382,0.018706,0.760573,3.69187,0.021081,-0.305851,40.74449101013451,-5.706267539756793,35.0,-0.024495103768252147,0.01727700900858242,-0.08354422555366914,65.921788,-66.109462,0.235,0.8302,0.224943,0.39737,0.214661
000156.XSHE,0.02291990410312123,0.3762085700312253,0.12032825548095202,-0.17103372785113224,1.3678768051288133,0.14203532121295914,0.033548,3.637174,0.190206,0.442221,0.060924,0.044442,0.233652,1.969201,0.175435,0.078876,38.342931129681894,-3.431602981666773,35.0,-0.2684616951901546,-0.1678763977578887,-0.20117059486453182,94.293478,-11.461917,0.429286,0.34818,0.684643,-0.598408,0.309422
000157.XSHE,-0.005765712575768671,1.074229240519927,0.5720169317011784,-0.17354181490030024,2.414152172924137,0.5895570838451345,-0.040765,2.31215,-0.00744,0.270657,-0.005367,-0.001598,0.2148,19.205142,-0.053957,-0.842544,50.27475105691107,0.9916094584287138,45.0,-0.03480285675660966,-0.03020805569468222,-0.009189602123854876,83.128205,14.942641,4.449286,0.35206,0.746572,-1.341584,0.244463
000333.XSHE,0.07980845969672785,0.3212954633080581,0.7945967421533572,0.011409338543597936,2.4715413146068,0.17964804167882156,-0.020788,1.334402,0.107681,0.272347,0.248395,0.095392,0.880077,3.294076,-0.003565,0.140281,48.05854299351408,-2.3432269582682688,35.0,-0.07470251866314115,0.1804079050787762,-0.5102208474838347,121.634399,15.11038,2.773571,0.30004,0.489903,0.730367,0.377365
000338.XSHE,0.046514224049714406,0.7825950853028643,2.0601565718994643,-0.09324791824022528,2.919166283051548,0.8747775736892507,-0.100976,1.471271,0.03451,0.230588,0.059438,0.022716,0.65824,-0.976652,0.050954,0.182419,49.812722066409705,-2.3653749370911,40.0,-0.018140165980527367,0.025106815413485126,-0.08649396278802499,116.441303,-9.585655,1.930714,0.71298,1.406815,-1.497139,0.859269
000402.XSHE,0.06638166803855447,0.8318775476249897,0.5376344086021505,0.12821992281160646,3.891896871530321,1.709850461476312,-0.067973,2.595838,0.119668,0.34153,0.079797,0.017574,0.146852,134.550496,-0.173535,-0.421256,40.41148899292444,-3.4537786390060305,35.0,-0.3120367850977708,-0.2625794877115387,-0.09891459477246412,90.154357,34.491863,6.797857,0.37814,0.899358,-1.253551,-0.659062
000413.XSHE,0.024956700125282633,0.3913128546272745,0.11486067400243503,0.2819522372910029,1.768283420547418,0.4354660783834732,0.848179,3.693171,0.214272,0.337519,0.061493,0.035972,0.167878,1.360991,1.024059,0.294123,36.26536543770501,-4.63038881456868,45.0,-0.6896493400846762,-0.7085266545524728,0.037754628935593226,93.151815,12.239914,1.752143,3.1533,4.537113,-1.831614,0.042973
