,EP,BP,SP,CFP,financial_leverage,debtequityratio,cashratio,currentratio,NI,GPM,ROE,ROA,asset_turnover,net_operating_cash_flow,Sales_G_q,Profit_G_q,RSI,BIAS,PSY,DIF,DEA,MACD,AR,ARBR,ATR14,VOL5,VOL60,Skewness20,Skewness60
000001.XSHE,0.11694128378141336,1.0370216737529814,0.5499642523235989,0.18219582407171228,14.250060578750249,,,,0.21748,,0.104119,0.007307,0.033596,-2.648927,0.066651,0.063344,68.9148716203215,9.32610056332151,60.0,0.5445844349796545,0.3728013734213397,0.3435661231166296,151.786749,-36.71996,45.988571,1.06216,0.493968,1.545866,1.396457
000002.XSHE,0.10015122835481577,0.45310376076121434,0.976848686138517,0.11835019823658204,6.633982028571183,0.7975935806697504,0.131598,1.161159,0.146411,0.35402,0.221036,0.030854,0.210735,-4.418205,0.254844,0.386276,59.53226534524083,2.988010490820523,55.00000000000001,0.6114627276358817,0.5646756231163678,0.09357420903902791,128.313183,10.926586,120.095,0.91664,0.450705,0.298446,0.182814
000063.XSHE,-0.05279440801630291,0.18184463194646494,0.7283321194464675,-0.09766387999062426,3.6134202988072386,0.2686361371169447,0.146143,1.093963,-0.068352,0.313908,-0.290325,-0.050076,0.732616,-9.170612,-0.143504,10.624646,78.57325697857537,26.135148052893946,50.0,3.059930025328107,1.5320446887270058,3.0557706732022027,187.259713,-91.908224,28.513571,6.9449,3.343593,1.21472,1.088087
000069.XSHE,0.15857661629216158,0.9502993442934524,0.8371002846140967,0.15060240963855423,3.8997727332008254,1.2657157503007002,0.364391,1.91254,0.207714,0.560058,0.166876,0.03606,0.173606,-3.72007,0.327468,0.096876,66.89541183703899,7.155635062611814,45.0,0.20982921196598614,0.1335602017760521,0.15253802037986808,119.338213,-31.079582,9.577143,0.96924,0.450305,0.97703,-0.195542
000100.XSHE,0.074212604268709,0.6830134553650707,2.5523226135783563,-0.0932001192961527,3.176669406496673,0.8449998017063016,0.175431,1.011778,0.03034,0.1841,0.108659,0.018571,0.611517,3.520112,0.005446,0.08314,62.257798219858095,6.155398587285564,50.0,0.1922366010727723,0.15844833105242978,0.06757654004068503,126.17284,-34.795821,0.532143,2.98296,1.084258,1.102568,0.95738
000157.XSHE,0.0412393241699555,1.1432491139819365,0.8064516129032259,-0.09647201829109467,2.2805551750064477,0.533474151942035,0.211659,2.244732,0.049432,0.252906,0.036072,0.015043,0.304329,3.326022,0.112187,0.184728,71.92060914321979,6.532008470434921,60.0,0.1466622796834387,0.09894452725169318,0.09543550486349103,136.405927,-42.646341,6.338571,0.75194,0.321467,0.784717,0.347848
000166.XSHE,0.03356403010022219,0.5599104143337066,0.12325744783128521,0.06704794598617471,4.884057829734829,,,,0.278045,,0.059946,0.012216,0.043935,18.299396,0.142854,-0.101136,75.05327482515413,19.0585009140768,55.00000000000001,0.42090485741614625,0.20160008167437518,0.43860955148354214,232.417582,-36.484857,0.373571,1.21102,0.251948,1.309402,1.839343
000333.XSHE,0.06411900487304438,0.26321330806485577,0.8308408109006314,-0.08302889405513118,2.7901936234666667,0.44950911291783574,0.084222,1.423239,0.082582,0.265699,0.243599,0.084161,1.011178,2.412844,0.130243,0.186077,63.61571425407355,5.91066407094962,65.0,2.0703882183384508,1.7667502357108196,0.6072759652552624,108.960625,-72.149404,6.801429,0.6765,0.462968,0.651635,1.035733
000338.XSHE,0.10819700510689864,0.49282933320191213,2.0859407592824364,-0.013402831482178926,3.324574531489736,0.9449769504288398,0.305595,1.267892,0.071465,0.217985,0.219544,0.056729,0.793811,-1.238807,0.115331,0.552588,62.269310175700845,3.132905234481432,50.0,0.4431348006498972,0.4166262767332294,0.05301704783333561,142.632407,-17.019669,6.727143,1.998,1.005722,0.812712,1.233662
000402.XSHE,0.1088767188911995,1.2434717731907485,0.7652280379553107,0.008509812664983993,4.19894035842299,2.1563470114543692,0.349506,2.87327,0.200287,0.375741,0.08756,0.025275,0.126194,-9.373564,-0.32969,-0.009231,74.06270018912076,10.136299545668184,70.0,0.30694806620144544,0.18662046774397148,0.2406551969149479,249.952763,-38.740836,6.63,0.67068,0.261045,1.06313,0.51464
