,EP,BP,SP,CFP,financial_leverage,debtequityratio,cashratio,currentratio,NI,GPM,ROE,ROA,asset_turnover,net_operating_cash_flow,Sales_G_q,Profit_G_q,RSI,BIAS,PSY,DIF,DEA,MACD,AR,ARBR,ATR14,VOL5,VOL60,Skewness20,Skewness60
000001.XSHE,0.110046109319805,0.727749072119933,0.40794680373679276,0.013070870258541813,16.697027086881153,,,,0.269756,0.357541,0.151219,0.009057,0.033573,7.407497,0.406561,0.300112,61.76464353443598,6.627537295182193,55.00000000000001,0.27003092313493404,0.19132961436774923,0.15740261753436963,158.178273,-80.252369,46.697143,1.91992,1.50632,0.512197,-0.85054
000002.XSHE,0.1031470154411082,0.5775672865888876,0.9589566551591868,0.12216873946294622,4.3868572655449185,0.4043458886644274,0.040115,1.344714,0.131756,0.299416,0.178592,0.037937,0.287934,2.640193,0.081002,0.054104,63.805773671116796,12.58896278147239,65.0,0.24963554122162357,0.06680674136247433,0.3656575997182985,97.99335,-45.527959,61.815714,4.41554,2.627445,0.456463,0.178018
000009.XSHE,0.009117590476129693,0.12763078965169558,0.14894028983780402,-0.033164525896520046,2.5484828397018084,0.6039590255099861,-0.105908,1.878588,0.097342,0.349875,0.071437,0.027981,0.28745,3.239509,0.000577,-0.330631,64.35312856763889,3.776034903651362,45.0,0.4851368334722448,0.5179249485272985,-0.06557623011010749,122.253705,-57.116158,3.61,3.73312,3.136242,0.759343,0.798284
000024.XSHE,0.050247973750458516,0.3664614482556435,0.5112997238981491,-0.015178468431821355,3.4675093388696134,0.6361906916624221,0.013086,1.750632,0.126999,0.373304,0.137119,0.036323,0.286007,-0.470805,0.332145,0.000279,72.09427619471673,29.68373169153547,55.00000000000001,2.129483511265537,0.7713059192833607,2.7163551839643527,125.827715,-98.693275,14.81,10.77246,6.68156,0.500707,0.219317
000027.XSHE,0.057304619898456206,0.49897709695124987,0.35232357397033437,0.051111417779617786,1.8885861547428802,0.18629872225747737,0.042709,0.868368,0.186798,0.259866,0.114846,0.060771,0.325328,0.85473,0.012571,0.345192,72.95727762140085,15.366340397225134,75.0,0.4062665010699229,0.22414341665533072,0.36424616882918437,138.091106,-161.036166,5.748571,5.65464,3.010273,-0.295692,-1.0552
000039.XSHE,0.040895613945404356,0.36789051578250315,1.1564704521799467,-0.020569021408237482,3.2173525036457034,0.6287631659055759,-0.018306,1.042273,0.043298,0.161291,0.11116,0.034564,0.79829,10.304996,0.21074,0.151615,70.86099506135672,12.639862947695276,65.0,0.4372219837076763,0.2185140852009551,0.43741579701344235,137.817029,-55.417913,18.287143,3.55704,1.84386,0.524529,-0.141354
000060.XSHE,0.02315179241176852,0.22403441168563493,1.0164667615368976,0.005643754903012071,2.1640121917728288,0.3301271241713003,0.057662,0.814257,0.027125,0.054981,0.103339,0.052721,1.940796,0.251549,0.817479,1.73878,68.30340624420012,7.915758896151039,60.0,0.4677655153884652,0.3917348931717146,0.15206124443350122,165.507731,-48.71581,12.865714,2.97796,2.560502,-0.030128,0.291758
000061.XSHE,0.0043511424141965595,0.18890022290226302,0.06886957479924519,-0.028590543391867708,2.120415544180246,0.3377826462749392,-0.091377,0.479886,0.118926,0.432618,0.023034,0.016173,0.133156,6.926687,-0.180233,2.46569,62.58600207550455,4.972787594125087,55.00000000000001,0.7502940328287622,0.641724084685398,0.21713989628672836,145.497407,-21.059563,12.209286,2.00262,1.868002,0.943387,0.172591
000063.XSHE,0.03504664708727316,0.33107101473266015,1.0842459069717012,-0.03843433877563571,4.039713980836515,0.5323555337293093,0.063533,1.247263,0.033481,0.315586,0.105857,0.025681,0.767047,2.89035,0.082909,0.902666,64.1371213991739,7.2799345623859795,55.00000000000001,0.7358055554181533,0.5217053742602806,0.4282003623157453,92.972973,-42.258161,9.452143,3.35196,2.810772,0.461674,-0.18553
000069.XSHE,0.06804294870922527,0.40073735673639493,0.43777087072626186,0.06670313104497125,2.9420816366569706,0.6713623126086974,0.045708,1.591817,0.182004,0.56965,0.169797,0.058928,0.323774,0.844949,0.090985,0.128062,70.07420616511743,21.06463878326996,55.00000000000001,0.7117169627324351,0.46004949599178324,0.5033349334813038,56.761469,-6044.1006,13.553571,8.824,2.382702,1.638176,0.987862
000100.XSHE,0.0442135514535205,0.25271031816229056,1.4070634585619812,0.015914089379891593,3.457750346317387,0.6716224618559763,0.069667,1.156411,0.041785,0.175669,0.174956,0.045574,1.08777,0.98618,0.184058,0.467308,68.39061002298064,7.260928125382661,65.0,0.3777023497650509,0.3597864320729137,0.03583183538427437,120.022371,-19.5635,0.693571,4.82286,4.633273,1.24915,0.776995
000156.XSHE,0.006830157879099375,0.03910756535851861,0.04292103388186415,0.0010174629195813588,2.51836616361728,0.49652908428111325,0.130413,0.661145,0.159175,0.421399,0.174651,0.069064,0.433886,5.138268,0.338905,0.50274,70.37852136264554,10.441481649941705,65.0,4.366602292003279,4.013958002793524,0.7052885784195091,139.235551,-6.681608,4.475,3.3528,4.810163,0.547139,0.171089
000157.XSHE,0.010531703587308875,0.7238508867173362,0.4582951420714941,-0.03854099219930318,2.273035379101962,0.6605814544892196,0.061074,2.932494,0.024288,0.278888,0.01455,0.006697,0.275723,6.156033,-0.329268,-0.84112,73.7622450683643,15.4228855721393,60.0,0.22736923872548953,0.11562059037600371,0.22349729669897164,145.222571,-74.408108,15.34,5.69314,2.525877,2.362254,0.085058
000333.XSHE,0.07560407657180875,0.28413934193328405,1.0244851961889152,-0.0827266710787558,2.630401493429493,0.03100237664774562,0.002182,1.18162,0.081837,0.254104,0.266078,0.096817,1.177702,7.058066,,,,1.4836795252225496,35.0,0.32489664223947656,0.2709110919400858,0.10797110059878157,91.710354,-77.424881,2.197857,0.92874,1.399475,0.28207,0.51581
000338.XSHE,0.08034258076437932,0.5191568892119198,1.2733987011333248,0.06232471174820816,2.947337724016489,0.7709649935791811,0.068557,1.339404,0.072636,0.214591,0.154754,0.048039,0.661374,12.273668,0.365715,0.515204,72.48613216689537,14.989334884622817,65.0,0.2885502885989961,0.13825172724232215,0.30059712271334793,127.363184,-60.921586,4.967143,5.45956,2.8057,0.726158,-0.455783
000400.XSHE,0.03873176702067502,0.20671407309409623,0.30478512648582745,-0.021132222201089998,1.731138219066165,0.11172642372380316,0.002738,2.456265,0.154233,0.343777,0.187367,0.119463,0.774559,0.376239,0.168362,0.673996,72.91022841748912,11.01607937050977,60.0,1.049731364336779,0.6916219474404652,0.7162188337926274,113.794109,-44.339694,48.381429,8.0367,5.673015,1.289375,0.813344
000401.XSHE,0.00853327507950879,0.5307292219509606,0.727749072119933,0.015152043177262238,3.2845278162485143,0.9575653933934279,0.047135,0.659951,-0.004749,0.225087,0.016078,-0.001728,0.363919,4.417307,0.073533,-15.245242,68.6440711683652,15.413047495841814,60.0,0.9788199304870648,0.554424358640185,0.8487911436937596,113.39336,-217.760705,4.687143,2.98774,1.64486,0.940172,0.565666
000402.XSHE,0.08223616582100476,0.6802721088435374,0.6190034045187249,-0.048096115276769096,3.26783879249233,1.0284485058720423,0.004461,2.059632,0.141249,0.306249,0.120884,0.035536,0.251587,0.400741,0.108302,-0.115765,68.09675326043809,15.730549091137819,65.0,0.37397202303124644,0.14463124154749585,0.4586815629675012,117.081644,-86.14351,13.005714,4.33078,2.199472,0.532182,-0.263555
000413.XSHE,0.02803421295348844,0.20490963485103067,0.06823376889222477,0.017230714092484136,1.925346529552365,0.5566976874025592,0.881205,3.393283,0.424171,0.449705,0.136812,0.072919,0.17191,6.345559,1.300028,1.219948,67.50413129644018,7.071854586765122,75.0,1.1413195409214065,1.0727433203268988,0.13715244118901548,168.538012,-33.03817,2.825,7.97976,4.985768,0.725394,1.412874
000423.XSHE,0.050058067358135436,0.21710340635244568,0.1469615695495628,0.023313555666942543,1.2376238301147047,0.012519373778185676,1.224965,3.999468,0.342298,0.655433,0.230572,0.183953,0.537406,2.010442,-0.001816,0.125079,64.57895897144125,4.879160966712279,60.0,1.0351050554615497,0.711944078059994,0.6463219548031114,115.115572,-67.427704,9.167143,2.98164,2.344745,0.510011,0.296609
000425.XSHE,0.011439344022256388,0.5568548836173293,0.6450780544445878,-0.05565201905525132,2.3900696951585245,0.42313962351825235,0.019537,1.84887,0.01746,0.22624,0.020543,0.00833,0.477094,-1.168998,-0.136636,-0.73713,70.64860483035854,12.001943634596689,60.0,0.22694908141606263,0.17523152938310022,0.10343510406592482,153.434941,-15.573872,9.131429,5.38906,2.887515,1.214556,0.188577
