,EP,BP,SP,CFP,financial_leverage,debtequityratio,cashratio,currentratio,NI,GPM,ROE,ROA,asset_turnover,net_operating_cash_flow,Sales_G_q,Profit_G_q,RSI,BIAS,PSY,DIF,DEA,MACD,AR,ARBR,ATR14,VOL5,VOL60,Skewness20,Skewness60
000002.XSHE,0.060681084492342045,0.42960862654122095,0.4735296903115825,-0.09592878247189286,3.3150206207686117,0.5412695335797401,0.009109,1.776353,0.148056,0.32144,0.141248,0.040437,0.273117,-1.609921,-0.037473,0.194569,55.673104248533875,-0.06700488178424116,50.0,0.15183078843065,0.202176291145001,-0.10069100542870196,155.517607,61.54137,31.868571,0.74628,0.795328,0.635835,0.531324
000009.XSHE,0.02348939688624555,0.1820763992571283,0.2566866882283485,0.008369384456881351,2.8228753235959574,0.8743392817684459,-0.151494,2.147245,0.137792,0.400635,0.130685,0.047815,0.347006,-4.067039,-0.085582,0.227361,63.44446302333964,7.668301382077582,55.00000000000001,0.20452037294507175,0.16643561939472526,0.07616950710069298,145.660586,13.112182,1.957857,1.74866,1.531068,-0.215473,-0.485759
000012.XSHE,0.03753725572630836,0.1725863794829312,0.20587993082434325,0.002567802174466237,1.8979537076875987,0.19184097484807933,-0.050349,0.375591,0.200542,0.362035,0.217497,0.120114,0.598945,2.172735,0.573185,3.028048,67.90386123587137,9.756976995745292,60.0,0.5438732462720104,0.4907525396792949,0.10624141318543101,174.482038,22.158082,12.402857,5.852,3.470103,0.787846,0.658498
000021.XSHE,0.019668816468306653,0.21966435286881647,1.1066843736166445,0.0027245135381077706,1.44978459385919,0.00465975720221204,0.032983,2.110795,0.018992,0.02981,0.089539,0.060641,3.192931,0.130849,0.648794,0.290151,61.32290794197761,3.3505734202833417,55.00000000000001,0.42183992749199817,0.5092418937484405,-0.17480393251288473,138.626156,11.805463,6.612143,1.19586,1.855662,0.797477,-0.026034
000024.XSHE,0.06769014160777624,0.526787125322657,0.43675751222921033,0.05377471620393524,2.5836688616593038,0.4829342281337073,0.105214,2.098201,0.187555,0.405969,0.128495,0.051585,0.275039,-1.810809,1.847461,0.969528,51.7987079575969,-2.5204609308196577,50.0,0.2944127901360343,0.5182476733446681,-0.44766976641726774,111.627907,21.929185,4.878571,2.13954,2.649225,-0.349148,-0.005201
000027.XSHE,0.07765783955890347,0.5594405594405594,0.5634437683119224,0.02193607826792726,1.9074004110596285,0.291861794143219,-0.074645,0.842278,0.165227,0.243974,0.138811,0.072752,0.440318,1.224827,0.402663,0.264378,56.02141322896098,2.0216896505556394,60.0,0.07328190185949301,0.07197582319109232,0.002612157336801396,111.898734,-5.342645,2.258571,1.2526,1.14048,-0.594591,-0.308352
000031.XSHE,0.03312124694870513,0.37748669359405085,0.16272068993572533,-0.07679429879125774,2.4415712241636354,0.4792248391883883,-0.220073,1.82009,0.199721,0.360119,0.087742,0.032047,0.160461,-28.13213,1.489382,10.271174,48.04233859779143,-2.8424490930572013,45.0,-0.023904532643514997,0.08484310149070277,-0.21749526826843554,116.287517,34.973414,4.047143,0.48234,0.67643,0.067142,-0.191938
000039.XSHE,0.027974062449297014,0.3843936190659235,0.86333419666753,0.012079760240918738,3.0926843757538003,0.30698511798197614,0.001601,1.122756,0.038989,0.146541,0.072774,0.023053,0.591263,-2.239618,0.213258,-0.156783,59.88199591679017,2.2202873313017046,65.0,0.19168029946454723,0.22554418648487773,-0.06772777404066099,185.410485,13.418026,8.861429,0.6328,0.656792,-0.810895,-0.329352
000046.XSHE,0.016682459394893833,0.35563142359258865,0.11369321024148438,0.022250752631707765,2.4438920760464344,0.9800245884197843,-0.322816,5.21337,0.141372,0.45582,0.046909,0.015537,0.109904,95.088979,1.192658,1.210779,49.61867440564649,-2.463299328191097,55.00000000000001,0.011308261702042355,0.07605622364765523,-0.12949592389122574,88.321168,8.30537,4.873571,1.26948,1.984833,-0.131222,-0.36279
000059.XSHE,0.015782878102519264,0.5128731151913016,0.9260116677470135,0.0398120869495979,4.275321784991286,1.550487668583049,-0.044526,0.802368,0.017045,0.186398,0.030773,0.007161,0.42012,2.177444,2.610104,-0.462853,59.95759229794855,4.165418040155853,45.0,0.4128456644158014,0.3919565691542975,0.0417781905230078,137.874659,9.340628,0.632143,1.46506,1.35429,1.450394,0.39171
000060.XSHE,0.024017446272972687,0.16371703148278516,0.36725549965110726,0.01428904159111336,2.3274322041274886,0.3009115319800387,-0.042104,1.080872,0.084382,0.205473,0.146701,0.066948,0.790665,2.392323,0.463383,-6.098572,56.74902001574921,3.1988666020431147,45.0,0.14284043619033948,0.16439340685762988,-0.04310594133458079,135.324629,17.240757,10.707143,1.47886,1.398005,-0.030547,-0.054509
000061.XSHE,0.01761115279083938,0.21614611477358694,0.08982708286548394,0.037237429574711316,1.8746782696105848,0.21511854936964858,-0.13072,1.075888,0.264892,0.527642,0.081477,0.042242,0.159468,0.240606,-0.197237,0.656491,61.266599940159196,4.668084630023507,65.0,0.33002051216429606,0.33129393707586696,-0.0025468498231417946,157.266349,1.855902,7.803571,1.46452,1.440197,-0.234887,-0.350848
000063.XSHE,0.035841266200252325,0.2932723326881342,0.8888098835659053,0.002930685478541374,3.371730401760328,0.39469497711947094,0.080854,1.352059,0.04456,0.332506,0.122212,0.038082,0.854617,4.469925,0.210786,0.335802,58.201224447777314,4.053577722946783,45.0,0.2887796271204319,0.25244676887950357,0.07266571648185671,106.672582,-8.277584,10.084286,0.63238,0.614245,-0.953963,-0.66183
000069.XSHE,0.056908394557281146,0.28179333276974666,0.33961623365596877,0.060595410503608456,3.1187021033185234,0.5966218432804044,0.026593,1.175433,0.173993,0.48678,0.226022,0.069795,0.401136,-2.535676,2.990494,1.317365,50.08900190734258,-1.3452914798206377,45.0,0.017584536411733076,0.06129479434377762,-0.08742051586408908,121.13659,15.813748,6.592143,1.02706,1.48247,-0.347249,-0.862403
000089.XSHE,0.06440477110544349,0.5420935653493792,0.1755402250425685,0.010631082307965445,1.1032563057548692,0.011068968695820417,0.428929,3.755326,0.372551,0.498895,0.119237,0.108956,0.292458,0.972385,0.168088,0.446512,54.98545926393328,0.6592998421394552,60.0,0.08433633389718587,0.1041353566550022,-0.039598045515632674,110.595447,4.687912,0.901429,0.9936,1.240675,-0.80495,-0.535217
000100.XSHE,0.031747039588558366,0.3348961821835231,2.998500749625187,0.20382788773159943,3.4248537040535316,0.2836712664697352,0.034379,1.282136,0.014783,0.14238,0.094797,0.02082,1.40795,4.88944,0.334887,3.301441,48.70260654101944,-0.53667262969589,45.0,-0.007676625816034788,-0.0035583769099365252,-0.008236497812196524,87.912088,16.052791,0.122857,1.23368,1.277013,-0.458152,-0.546881
000157.XSHE,0.06390797251957181,0.2685717355105549,0.513373376456697,0.06189727528194209,3.369076023774242,0.7682702838519402,-0.058644,1.3732,0.126164,0.275587,0.24662,0.070957,0.562421,-1.002198,0.661761,0.947423,63.640088042135815,5.640910620163755,50.0,0.2477342230541124,0.2467809417258733,0.0019065626564782057,132.069049,-14.301216,16.867857,4.1137,2.198995,1.030623,1.026667
000338.XSHE,0.08341327105142428,0.22662375923491818,0.8149295085975062,0.020249350502082646,2.511146173426376,0.16562433727489884,0.017352,1.40224,0.120688,0.246182,0.368065,0.132965,1.101719,1.263389,0.894788,2.664581,62.01846829860408,6.490478041197038,55.00000000000001,0.1893145819645694,0.1714917909887962,0.035645581951546434,139.535985,-9.614471,4.579286,3.06536,1.895588,0.116097,0.132217
000401.XSHE,0.04499498305938888,0.26756568737625086,0.33178500331785005,0.035186612197790984,3.1493680496627507,1.3938620392877068,-0.066798,1.257484,0.147356,0.311023,0.168668,0.050752,0.344415,1.663158,0.757483,0.94983,74.15834576486576,14.27118751787472,75.0,1.0404165928532603,0.7815356516120189,0.5177618824824828,200.234558,22.040885,4.862143,0.8409,0.657907,-0.144229,0.511061
000402.XSHE,0.052464520867763174,0.7508071176514753,0.3147128245476003,0.0686747153433049,2.864395574958745,0.9316010649829143,-0.285791,2.499722,0.16642,0.416548,0.069878,0.023708,0.142459,-14.16322,0.122271,-0.33195,42.95427376046494,-4.78056426332288,45.0,-0.09518003785730844,0.004611295755586173,-0.19958266722578924,94.265734,28.888904,4.977143,1.18676,1.089432,-0.329087,-0.160196
000422.XSHE,0.046553417719161855,0.2502064202967448,0.9820288716488265,0.0023111351880039143,3.7495124298639535,1.4620551084495967,-0.078944,1.023077,0.083581,0.208429,0.186058,0.051652,0.617982,0.503273,0.318417,-830.143,57.721712588773656,1.8109349276492472,50.0,0.38415611433208596,0.4561157991021433,-0.14391936954011464,172.244061,19.041072,5.967857,2.22732,2.84391,-0.172842,-0.769442
000423.XSHE,0.018795367317863493,0.09408753904632872,0.08418854867360942,0.017980275637625526,1.2132929057324593,0.016019392938634767,-0.550886,3.792475,0.269988,0.572569,0.213735,0.175282,0.649224,0.890177,0.229872,0.746375,67.57555518594465,6.803586289195596,60.0,1.257433141477101,1.1835202711085828,0.14782574073703625,174.600686,53.808061,11.203571,0.55106,0.699033,-0.136858,-0.470961
000425.XSHE,0.07254209254920167,0.1801542120054767,0.7976389885937625,0.019177698637808063,3.3719823128585893,0.01282010947735717,0.095508,1.131817,0.09019,0.197571,0.401894,0.118216,1.310742,2.115461,6.384903,20.540751,50.87985997581409,-1.4594762446951663,55.00000000000001,-0.005152375937806042,0.05990227553344275,-0.1301093029424976,111.183556,21.223318,6.682143,1.68318,1.74021,-0.813516,-0.149811
000488.XSHE,0.08664084769405384,0.8743551630672379,1.1036309458117206,-0.041393127085178776,1.97598006468318,0.4530455190353681,-0.167236,1.341409,0.089337,0.217342,0.099093,0.050423,0.564415,1.443332,0.200208,2.999632,51.010861577568924,-1.005413766434654,40.0,0.020307846630750248,0.047105224347268194,-0.05359475543303589,96.927374,1.094041,0.777143,1.7728,2.022558,-0.372778,-0.232794
000527.XSHE,0.05375534865719139,0.2339892832908253,1.3024225058609011,0.11187183962053071,2.9310522862987285,0.005504832467264054,0.193515,1.108483,0.052909,0.185867,0.229736,0.07637,1.443423,4.389548,0.457453,0.964972,65.40716695140186,8.239729793417638,55.00000000000001,0.4533277827797928,0.3935148123465022,0.11962594086658118,149.822097,21.750122,21.75,0.84726,0.480063,-0.099841,-0.181465
000528.XSHE,0.08678747483163231,0.2955344740964033,0.8194706219782021,0.0786342798279482,2.54357441964529,0.11372978934165272,0.085877,1.293395,0.106073,0.226777,0.293661,0.115185,1.085899,0.866008,0.545251,3.091758,60.61859350389207,3.6516216829213293,50.0,0.33150695150642306,0.36835276691375196,-0.0736916308146578,174.05936,16.49292,5.167857,2.53616,1.770488,-0.293429,0.013588
000538.XSHE,0.01892645369359207,0.09660622337290968,0.19996800511918095,-0.02120908766988479,1.7264259958958434,0.046917093378472614,-0.081114,2.087714,0.095194,0.304616,0.195913,0.113374,1.190977,-0.126127,0.240755,0.45717,64.86947383559573,3.5114867277704893,35.0,0.6047472323602143,0.6688738929489642,-0.12825332117749966,124.528302,1.265019,16.300714,0.28468,0.274752,2.191886,-0.003088
000562.XSHE,0.055242514639266375,0.2664535038635758,0.13465655844767918,0.13708019191226867,3.6195819895567545,,,,0.410248,,0.207324,0.057279,0.139619,-10.714543,0.710851,0.911721,54.595045116096294,0.8413836086007977,55.00000000000001,0.15621597565233714,0.22044920388467748,-0.1284664564646807,125.964392,7.925737,2.28,0.66048,0.542997,0.057678,-0.044241
000568.XSHE,0.03699291955519714,0.0846424702058505,0.09164726799494106,0.0118514726047285,1.5909048506548034,0.0015244706157821585,0.135437,1.494615,0.41356,0.695145,0.437051,0.276964,0.669706,0.95766,0.186574,0.38199,67.74985895360511,5.903752442118951,65.0,0.8693681796003823,0.8722976396125307,-0.0058589200242968875,180.688277,20.045856,21.872143,1.19508,0.981485,-0.022712,0.414773
000612.XSHE,0.04612482299599176,0.21917327839389822,0.5683432793407218,-0.03908754045560437,1.9155070802298646,0.5006651576394945,-0.673953,1.01894,0.081147,0.134829,0.21045,0.109821,1.35336,3.368539,0.14855,-6.813591,53.37373386557967,0.058456742010896824,60.0,0.12851715771043004,0.24775615833631628,-0.2384780012517725,132.520891,10.365203,3.58,1.67882,2.219937,-0.15072,0.244462
000623.XSHE,0.07647247755532784,0.38098140810728437,0.06325470773162292,0.010743065619719112,1.1144871127683402,0.003120046805756426,0.298763,2.516793,1.225018,0.668522,0.200721,0.178651,0.145835,0.219462,0.112167,0.2616,49.48971268272221,-1.4380485392888054,50.0,0.00691734701183222,0.1093121325907481,-0.20478957115783175,111.8964,5.349545,8.991429,1.84016,1.898335,-0.483525,-0.103353
000625.XSHE,0.07833614037836356,0.40381198513971894,1.2362467548522686,0.11931465661241827,2.7172339943725112,0.13284372388802346,0.197163,0.972266,0.062109,0.19655,0.192999,0.069594,1.120508,4.068248,0.820688,16.111374,55.85604792635872,2.429149797570834,55.00000000000001,0.05038036792634504,0.05351758304229623,-0.006274430231902384,103.84369,2.451285,1.263571,1.13128,1.294265,-0.573099,-0.349247
000630.XSHE,0.03232041163276255,0.28635244258633524,2.055498458376156,0.02238152897177018,3.442364297678044,0.4136661680552825,0.026148,0.905216,0.016788,0.050566,0.112868,0.029431,1.753051,1.036008,0.61709,1.179091,55.39748855111289,2.509720749381413,60.0,0.030323874841462484,0.03782445480333861,-0.015001159923752255,137.087912,1.215005,2.897143,0.9637,1.742033,-0.662854,-0.073098
000631.XSHE,0.035054755528134945,0.20121938950037227,0.08947104716913606,-0.04225649693640397,5.5179309559639815,0.92106063244603,-0.153765,1.496204,0.333777,0.575177,0.174212,0.026896,0.080582,-12.883651,-0.526602,-0.286874,50.00177426206361,-2.6694045174537964,50.0,0.013599556562225334,0.054772173801123286,-0.0823452344777959,122.662441,36.199269,2.07,1.75724,2.154285,-0.296078,0.501679
000651.XSHE,0.07603059471131184,0.24744512904263483,1.114951499609767,-0.09055510278004165,4.378363503151961,0.02067492883192655,0.002147,1.014494,0.068457,0.200338,0.307264,0.066164,0.96042,-0.486343,0.279302,0.475431,57.68036216160267,2.9094143056790767,50.0,0.1108083329400884,0.11872318192884211,-0.015829697977507412,115.148101,21.668981,29.72,0.93042,0.970787,0.106524,0.369855
000652.XSHE,0.025816578373968627,0.18096927141771327,0.6152710268873439,0.03198577272829046,3.3214952396903508,0.5143115611144304,0.040189,1.141726,0.077827,0.117842,0.142658,0.063695,0.818416,-12.011293,1.655017,0.982838,54.5455038936091,1.7064382350941685,60.0,0.10508345268902897,0.10787860088748993,-0.005590296396921934,115.632054,-14.618021,5.59,0.9349,1.024037,-0.281202,-0.858123
