,EP,BP,SP,CFP,financial_leverage,debtequityratio,cashratio,currentratio,NI,GPM,ROE,ROA,asset_turnover,net_operating_cash_flow,Sales_G_q,Profit_G_q,RSI,BIAS,PSY,DIF,DEA,MACD,AR,ARBR,ATR14,VOL5,VOL60,Skewness20,Skewness60
000001.XSHE,0.0971354748467688,0.46425255338904364,0.26365745623286224,0.30341646944596157,22.332989187179468,,,,0.368419,0.465904,0.209225,0.009368,0.025429,4.390274,0.344117,0.387657,43.31897985761039,-3.0628694250403026,50.0,-0.06382010160246843,-0.03162293277538869,-0.06439433765415947,136.506426,56.200715,16.752143,0.4429,0.598688,-0.275224,0.468928
000002.XSHE,0.0935672514619883,0.580416739218759,0.6775526797208483,0.27696227773777216,4.5142993061860155,0.528623300328853,0.055524,1.447155,0.16559,0.428466,0.161207,0.034225,0.206684,3.272412,0.230337,0.376037,30.94510151706997,-7.70498557890399,25.0,-0.23879983332448518,-0.13518664834752714,-0.20722636995391608,73.352172,19.215208,24.671429,0.4369,0.418858,-1.234159,-0.424169
000009.XSHE,0.01986215663296721,0.15022232904698957,0.19433701925879862,0.0077371115196305995,2.6319606021033706,0.8512432946816714,0.098297,2.485632,0.138166,0.362521,0.132218,0.045542,0.329619,-0.157573,0.086998,0.089953,36.567334761104426,-8.462978503647278,45.0,-0.3063622241546673,-0.20900462074397483,-0.19471520682138493,114.467962,25.044146,3.160714,1.07766,1.49919,-0.44309,-0.153533
000012.XSHE,0.056440415852984004,0.22189677362091156,0.2989894157746816,0.012606827101148355,2.028658688624887,0.49770859525097705,-0.09901,0.683795,0.206675,0.360403,0.254354,0.12881,0.623251,1.265668,0.326169,0.366723,36.79224753633105,-4.799474030243252,40.0,-0.30497792963768866,-0.274050707270115,-0.06185444473514734,84.003173,-3.402572,8.065714,0.55712,1.222015,0.208434,-0.306273
000021.XSHE,0.035350428800701356,0.45407074422194976,2.269117313365101,-0.018219482821760623,1.7436315742636406,0.008678588704980311,-0.058417,1.577013,0.013264,0.024289,0.077851,0.034869,2.62888,0.969254,0.055345,-0.262979,32.77996878930375,-4.340264052494264,25.0,-0.23151506953943812,-0.25700206664341957,0.05097399420796289,60.871549,34.622668,2.855714,0.25534,0.400335,0.380004,-0.38739
000024.XSHE,0.08452228007302724,0.6772314777190844,0.5180541884681138,-0.08376472164982995,2.8962332470595977,0.48524913900850714,-0.035454,1.858131,0.195047,0.434998,0.124805,0.044211,0.226667,-2.31171,0.045614,0.087385,38.514113540196256,-7.305230633414232,35.0,-0.5443396038163417,-0.2408888163637494,-0.6069015749051847,95.590624,16.652195,3.379286,0.83664,1.165958,-0.686076,0.165364
000027.XSHE,0.07405048762246098,0.8690362388111584,0.7927699381639448,0.10194719135487817,1.9355478937832438,0.3778032404879294,0.280671,1.117916,0.107854,0.142375,0.085798,0.042697,0.395879,1.04326,-0.023267,-0.362425,33.88818193211594,-5.257491476762967,35.0,-0.08654393173877883,-0.07725723605368817,-0.018573391370181325,87.066862,7.619296,1.602143,0.0962,0.144352,-0.263544,-0.541788
000031.XSHE,0.06051803437424352,0.555895269331258,0.37115391752959953,0.004278168208161975,3.278798127212047,0.8157511227393672,-0.089576,1.894505,0.219684,0.452972,0.109378,0.0333,0.151583,-12.615635,0.478874,0.626695,29.611601340448413,-9.271523178807929,30.0,-0.21863270291475345,-0.14283919752007032,-0.15158701078936626,74.537795,-0.081732,2.226429,0.1794,0.36571,-0.406675,-0.489442
000039.XSHE,0.11730205278592375,0.4346125429179886,1.6051364365971108,0.025904990855538226,3.1277011104666363,0.4844422636293459,0.006658,1.219217,0.068038,0.181433,0.269894,0.068906,1.012765,1.267791,1.076424,2.623426,39.35321007254346,-3.445280833815847,25.0,-0.393172412788112,-0.4572976397843198,0.12825045399241564,90.080068,28.551995,14.045,1.10756,1.422848,1.26053,1.116018
000059.XSHE,0.06113515760643631,0.6536374926465782,2.9248318221702254,-0.026995070700090166,3.9460429757214426,1.2455888494879235,0.026113,0.74934,0.021058,0.154936,0.094415,0.023773,1.128921,20.480251,1.740665,2.385994,32.88899422325816,-6.831154483520528,25.0,-0.44562067517741877,-0.4364995448437707,-0.018242260667296173,110.154905,35.975162,0.461429,0.46016,1.06356,0.749608,-0.600675
000060.XSHE,0.03553129952174871,0.23094688221709006,0.47225501770956313,0.007069151143399852,2.4853469836679585,0.43587121073242596,0.011947,0.98667,0.099984,0.236342,0.153851,0.06732,0.671287,1.519501,0.084475,0.284435,33.24026466939634,-10.15232351349261,40.0,-0.2523246684832703,-0.18729185438514562,-0.13006562819624934,82.668341,-2.377656,8.235714,0.40944,0.56862,0.156781,-0.165032
000061.XSHE,0.01231238995801475,0.30208742410053474,0.14306151645207438,0.037520636349992496,2.3450384125078916,0.17487956323680673,-0.026516,0.832301,0.105562,0.262407,0.040758,0.016345,0.154834,-2.236726,0.339434,-0.466225,36.48626928415973,-3.1740495291245083,30.0,-0.23164900261505128,-0.25683456684571326,0.050371128461323966,53.184676,-10.130954,4.845,0.52054,0.677387,0.63475,1.845631
000063.XSHE,0.04832598778319029,0.35454706612302783,1.1823126034523528,0.039712323925483795,3.8940135080154428,0.4070331212302594,0.02224,1.246205,0.043181,0.308855,0.136303,0.034405,0.796758,-1.00465,0.214641,0.177049,49.30715065650546,2.749638205499282,55.00000000000001,-0.015628260602751354,-0.3145130673846966,0.5977696135638905,151.110356,24.402091,8.838571,0.7989,0.703285,0.11282,-0.308956
000069.XSHE,0.07777198808533142,0.39502271380604387,0.47043326904078653,0.012041838162511831,3.6136312540355715,1.2498720563398693,0.031521,1.691847,0.181064,0.52348,0.196882,0.053445,0.295175,-0.476904,0.049297,0.09194,28.516859811886548,-10.355486862442035,25.0,-0.21488282899992228,-0.11830320582990445,-0.19315924634003567,80.868609,-5.829836,6.845,0.77628,0.709437,-0.285932,-0.019389
000100.XSHE,0.04526750834053841,0.6030635628995297,3.1191515907673115,0.22247435983002958,3.2812052792283457,0.5555151435233007,-0.012819,1.316428,0.020765,0.147937,0.075064,0.018838,0.906298,-0.236141,0.121797,0.576863,34.612386865890954,-5.164014290354019,20.0,-0.07847037747124364,-0.08512239805725512,0.013304041172022968,92.857143,28.222997,0.196429,2.05858,1.861998,0.756399,0.696912
000157.XSHE,0.09676233235925918,0.43813529617946023,0.5492694716027683,0.17638861940627593,2.331477204516381,0.2606461941547644,0.024687,1.58345,0.175775,0.32234,0.220848,0.094227,0.536069,0.677673,0.45925,1.033059,36.937810670437806,-4.042011457670281,30.0,-0.25561242761366554,-0.2417395081881217,-0.027745838851087667,87.245907,17.906522,16.753571,0.40606,0.694588,0.248945,-0.092026
000338.XSHE,0.11355377906976744,0.3395239873697077,1.0741138560687433,0.04742235774478236,2.2125682576706054,0.08077438521889091,0.000552,1.373691,0.123263,0.23532,0.334449,0.139278,1.129927,0.17396,0.259295,0.286158,36.92700702560916,-4.426904598490048,25.0,-0.19080354901279595,-0.15535250140955126,-0.07090209520648938,88.897095,4.316869,3.025714,0.62436,0.809723,0.403464,-0.11929
000401.XSHE,0.08288506328274582,0.4562460078474313,0.7040270346381301,0.012682388601069124,3.3455781308209653,1.1809045540851162,0.106958,0.797095,0.132483,0.323795,0.181664,0.052542,0.396592,0.954972,0.514296,0.361448,38.98792611879634,0.7350735073507408,40.0,-0.9477591508572392,-1.3500640777618982,0.804609853809318,89.415508,25.359808,4.692143,0.72812,0.76681,-0.493627,-0.469161
000402.XSHE,0.13783597518952448,0.943129303027445,0.5820382981200163,0.18434538952180807,3.324849456712809,1.1067447803133057,0.109645,2.135037,0.24001,0.431463,0.146149,0.043737,0.182229,0.710199,0.602454,1.311051,31.897587236805595,-6.337875838200306,30.0,-0.17495375515371947,-0.11150429381277441,-0.12689892268189013,59.464451,1.487868,3.734286,0.35588,0.48302,0.184507,-0.274905
