,EP,BP,SP,CFP,financial_leverage,debtequityratio,cashratio,currentratio,NI,GPM,ROE,ROA,asset_turnover,net_operating_cash_flow,Sales_G_q,Profit_G_q,RSI,BIAS,PSY,DIF,DEA,MACD,AR,ARBR,ATR14,VOL5,VOL60,Skewness20,Skewness60
000001.XSHE,0.08874610626458763,0.7698822080221727,0.42078687144961074,-0.19609765663300324,13.993468509721243,,,,0.210905,,0.104632,0.007477,0.035453,-3.362071,0.16842,0.118382,65.81871430008067,7.245804540967413,65.0,0.4206365713133646,0.22994530055123383,0.3813825415242616,122.397883,-66.235155,42.232143,0.71032,0.643402,0.406856,0.763723
000002.XSHE,0.12465874668096086,0.5500550055005501,1.1308379509216329,-0.05814494371569449,6.7839876398719445,0.7865500051035185,0.119649,1.119119,0.166258,0.37936,0.226626,0.034898,0.2099,3.317349,0.186209,0.352952,43.22836652287977,-2.182923459519205,45.0,-0.22615012764257614,-0.13151236110706815,-0.18927553307101597,67.927606,-31.070726,63.844286,0.39366,0.427777,1.023426,-0.058106
000063.XSHE,0.01712094233666621,0.1816398445162931,0.6718172657037286,0.08039877793857535,4.161935700752221,0.2942491434392402,0.291823,1.051636,0.03017,0.371712,0.094258,0.01944,0.644358,0.010918,-0.037669,-1.545278,52.455493850090505,-0.5697189598650563,50.0,0.8880363372772422,1.0682019094350785,-0.3603311443156727,87.872955,-18.793189,21.58,2.29884,2.765672,1.237149,1.055396
000069.XSHE,0.19743336623889435,1.0382059800664452,0.8858180529719195,-0.13764245994604415,4.29234832650608,1.1619682411293468,0.226769,1.601518,0.233192,0.631331,0.190177,0.035598,0.152654,-4.907855,0.180446,0.213579,50.94650765810993,-0.09439899307741076,55.00000000000001,0.032691765793233074,0.026244494609541487,0.012894542367383174,91.280366,-41.595759,6.457857,0.47692,0.434923,0.273772,0.328471
000100.XSHE,0.08239811473113495,0.6268806419257773,2.1710811984368217,-0.014573562973822965,2.5268596662733267,0.8229721619616648,0.225615,1.064829,0.048712,0.167982,0.131438,0.032986,0.676474,2.974977,-0.065299,0.423299,55.986699453587086,1.797413069040793,55.00000000000001,0.09940843056408966,0.09397817997598136,0.010860501176216592,138.56383,10.319555,0.449286,1.92648,1.607862,-0.020914,0.139139
000157.XSHE,0.08339170752860335,0.8269930532583526,0.8097821685966474,-0.024156223126201772,2.70200309253536,0.3619286862169549,0.149688,1.527707,0.101383,0.29484,0.100836,0.03619,0.356963,1.084885,0.437857,2.580238,49.460898952071766,-2.1290117572291125,50.0,0.033063149763256305,0.0631868818414087,-0.0602474641563048,84.855769,-31.814811,9.889286,0.38994,0.732803,1.710278,0.618006
000166.XSHE,0.04424857077116409,0.6726759047490919,0.16447909470706273,0.36893562073418185,4.618669065004256,,,,0.272528,,0.06578,0.014154,0.051938,-0.656008,0.471317,0.132903,44.973317496695294,-2.9424681598594717,55.00000000000001,-0.014971267303833358,0.031128389263554025,-0.09219931313477477,93.085106,-28.256357,0.127143,0.11178,0.17055,0.130495,0.577522
000333.XSHE,0.06340229389499312,0.26112387716732816,0.7682851874615857,0.012605937144276212,2.8806090784991456,0.5223823292920328,0.113902,1.485629,0.087846,0.288344,0.242804,0.084253,0.953447,1.097931,0.046064,0.148149,43.10718487974964,-3.325892857142846,40.0,-0.38277392224051,0.07360745050469344,-0.9127627454904068,55.467469,-52.238886,4.215,0.32772,0.343547,1.133036,0.272396
000338.XSHE,0.10730880254107245,0.47644004002096335,1.8857250612860645,0.044381127369397436,3.5278473574487133,0.8952724127316491,0.36901,1.188789,0.075281,0.222828,0.225231,0.054385,0.722429,2.485479,0.039217,0.090795,44.12466873416922,-4.060863551032486,55.00000000000001,-0.043839423323879245,0.05966079346321191,-0.2070004335741823,93.069455,-37.834439,4.615714,0.65188,1.027698,0.047304,-0.306537
000402.XSHE,0.1501749538212017,1.3954786491766675,1.0863661053775122,0.17142661226728836,4.1766394463470595,1.9808010076205635,0.410429,2.384438,0.176494,0.489919,0.107609,0.028688,0.162546,11.098021,0.128376,0.119356,46.124962111122585,-1.9232133986232278,55.00000000000001,0.030294526886352813,0.06049348364909392,-0.06039791352548221,89.692436,-20.662458,4.987857,0.20376,0.221165,0.285333,0.245545
000408.XSHE,0.06520775189754559,0.47881254488867614,0.17427067721585165,-0.04139227040742412,1.257810989091062,0.003514640124751955,0.021962,2.599275,0.374173,0.717739,0.136186,0.109371,0.292301,0.868395,-0.089398,-0.173279,41.58906455861033,-4.76817702845098,40.0,-0.12180218390523301,-0.020768745724544846,-0.20206687636137632,96.144381,4.404204,1.801429,0.92242,2.552898,2.026705,0.319602
000413.XSHE,0.06604103790095166,1.0136847440446022,0.7852375343541421,-0.18606035798012877,2.101092209797574,0.3391126260529208,0.608989,1.681477,0.088268,0.186669,0.065147,0.031604,0.358048,-0.10732,0.072697,0.055572,62.91562429231323,10.550851488916374,60.0,0.31465251284872053,0.21590079460943484,0.19750343647857138,153.068933,-20.121689,1.317857,4.3686,1.985565,-0.017874,0.451344
000415.XSHE,0.1262945188178833,1.691761123329386,1.8221574344023326,-0.27696227773777216,4.848423705341287,3.352855207948099,0.285351,0.926937,0.096337,0.369164,0.074652,0.014695,0.152534,9.25102,0.118,0.18775,44.265257474058195,-3.406067056945187,50.0,-0.001378179724627504,0.026854249071964324,-0.056464857593183655,111.719087,6.112392,1.804286,0.32278,0.522232,1.076554,0.458647
000423.XSHE,0.07101112744367043,0.5365958360163126,0.31315566968339964,0.00930360645000428,1.2313143620092313,0.006096711441329326,0.837512,4.159644,0.226609,0.642038,0.132338,0.106908,0.471774,1.714078,-0.159114,-0.294595,37.32441300044733,-4.096149129261701,50.0,-0.5346097665530429,-0.35174312710234906,-0.36573327890138774,73.29428,-6.677091,5.497143,0.56276,0.907768,-0.242491,-2.060093
