,EP,BP,SP,CFP,financial_leverage,debtequityratio,cashratio,currentratio,NI,GPM,ROE,ROA,asset_turnover,net_operating_cash_flow,Sales_G_q,Profit_G_q,RSI,BIAS,PSY,DIF,DEA,MACD,AR,ARBR,ATR14,VOL5,VOL60,Skewness20,Skewness60
000001.XSHE,0.10538074061584506,0.9423294383716548,0.4850836769342711,-0.05402164106941241,12.480324437198155,,,,0.217247,,0.091717,0.007349,0.033828,-0.851454,0.08316,0.322297,40.82241437142658,-2.165247616314291,20.0,-0.3738152263435257,-0.3110775799877721,-0.12547529271150726,79.451828,28.785849,51.642857,0.3386,0.566758,2.696441,0.836851
000002.XSHE,0.18061952497064931,1.0722710701265281,2.115506663845991,-0.1341849605496216,5.247381325488873,0.5729258564902032,0.102281,1.186482,0.119862,0.24553,0.168443,0.027361,0.228274,-0.985823,0.165085,-0.049138,43.443412564964284,-2.6444431356381095,40.0,-0.26540736573698,-0.31128436900241424,0.09175400653086851,76.412811,20.028954,105.657857,0.67532,1.112483,1.266982,0.547766
000063.XSHE,0.05101051836888767,0.34202065804774606,0.7661074082586379,0.01557045475070145,3.353610120150465,0.7116869128016923,0.516944,1.559662,0.069255,0.351902,0.149142,0.04359,0.629412,2.334868,0.104557,0.844362,39.945906961576625,-2.3258896030746974,50.0,-0.4772285567969412,-0.5515503447357105,0.14864357587753863,85.189119,19.949294,11.060714,0.99218,1.22144,-0.42898,-0.486992
000066.XSHE,0.02888311868362298,0.22144470525709734,0.45639176669252884,-0.02139197586985122,3.1629437375284444,0.7715136212605056,0.213482,1.448521,0.067213,0.210422,0.130429,0.039336,0.585241,-2.681696,0.690656,0.517523,47.54065830883492,-0.9391203451901822,40.0,0.05854574661143097,0.004020586114399133,0.10905032099406367,100.748086,-14.732773,4.417857,1.34046,1.316148,1.14631,-0.080559
000069.XSHE,0.22321926828723856,1.5971889474524836,2.0128824476650564,0.13799955840141312,4.0974385034650505,1.0545168883824583,0.206053,1.617111,0.160896,0.37323,0.134395,0.03274,0.203484,0.204608,0.54064,0.216092,38.55452938875023,-3.7055295374250306,40.0,-0.20008174734693984,-0.21321846234614253,0.026273429998405373,85.417525,12.221252,8.527857,0.44934,0.681797,1.428034,0.498115
000100.XSHE,0.13308490817141339,0.4556431402925229,1.7301038062283738,0.09942433311128565,2.8309087034665885,1.0488135848107067,0.260493,1.100875,0.108473,0.206416,0.290375,0.052939,0.487565,4.341512,1.296874,6.2431,40.816050358654074,-2.950096498483577,45.0,-0.060270818705358664,-0.07103788151056865,0.02153412561041998,110.23622,21.676898,0.397857,0.82998,1.501727,-0.151705,0.587506
000157.XSHE,0.12126209589406542,0.9298865538404315,1.2265423770391266,0.1532238293699436,2.278401020169998,0.3113461044224927,0.284615,1.781211,0.100059,0.255379,0.13041,0.056547,0.56513,0.560626,0.308042,0.134778,38.22103275895036,-0.9655855409754962,45.0,-0.2093942400063895,-0.2865196147845268,0.1542507495562746,61.54472,18.663806,9.562857,0.61968,1.434342,0.512643,1.00765
000166.XSHE,0.06837840609935383,0.7375175160410059,0.2595514950166113,0.2370791844476055,5.688615434642073,,,,0.266368,,0.087728,0.015328,0.057543,-3.069839,0.106912,0.149526,41.278460432558425,-5.2235852789869455,40.0,-0.12237991121094005,-0.056280657509018873,-0.13219850740384237,117.730496,20.302844,0.200714,0.3324,1.020655,-0.102031,1.044625
000333.XSHE,0.0605539475118383,0.25043826696719257,0.699154023631406,-0.002326279279132577,2.933107808000825,0.4621142490980977,0.159554,1.373012,0.087656,0.23956,0.241794,0.077074,0.873699,0.91406,0.199752,0.15509,44.98244191474273,-3.17527893134554,40.0,-0.4314207964446908,0.07921309996604196,-1.0212677928214655,111.496245,27.680345,7.085,0.28432,0.427488,0.765524,0.707976
000338.XSHE,0.07427875330540452,0.5209418628881017,1.608234158893535,0.148583994532109,2.8762281462816395,0.593278333980231,0.408169,1.321155,0.058947,0.191077,0.142586,0.043512,0.738161,-2.372382,0.110235,0.131633,42.21417204270241,-0.8488479920108533,45.0,-0.21754102178402057,-0.4160923806345639,0.3971027177010866,75.481006,-8.94237,8.645,1.38848,1.614617,1.198982,-0.177063
