,EP,BP,SP,CFP,financial_leverage,debtequityratio,cashratio,currentratio,NI,GPM,ROE,ROA,asset_turnover,net_operating_cash_flow,Sales_G_q,Profit_G_q,RSI,BIAS,PSY,DIF,DEA,MACD,AR,ARBR,ATR14,VOL5,VOL60,Skewness20,Skewness60
000001.XSHE,0.1273479783508437,0.9159186664224216,0.5240540823813018,1.264862130027827,16.540194481213724,,,,0.243004,0.320105,0.139039,0.008406,0.034593,-14.709505,0.293733,0.136201,50.194391415994325,-0.44585598241006774,45.0,0.04133583342013125,0.06611720546078305,-0.049562744081303595,128.291462,30.384566,27.761429,0.4856,0.647587,-0.377981,0.952337
000009.XSHE,0.025270457066756968,0.15629884338855893,0.16768957306234697,0.04580390432480465,2.5721123060315385,0.6191438047347603,0.190907,1.882466,0.191491,0.313175,0.161681,0.055109,0.28695,-0.535604,0.207291,1.381923,55.0854612132191,2.68700742038069,50.0,0.2734856982124185,0.3283815101716262,-0.10979162391841535,105.936139,-22.036226,4.788571,4.7555,7.949328,-0.074996,0.227377
000027.XSHE,0.05352688655511663,0.5357908272610373,0.3000300030003,0.03505536995684684,1.9579080233192263,0.26565887821672746,-0.103571,0.830943,0.207749,0.297926,0.099901,0.05234,0.251941,1.879913,-0.074658,0.05081,45.065554755934684,-1.5694908032100001,45.0,-0.13606839950251892,-0.12048330696040643,-0.031170185084224977,46.743667,-11.041764,4.419286,1.33398,3.270808,0.21976,-0.379996
000039.XSHE,0.04566356002246647,0.42053913116615504,1.1636025133814287,0.035602772743941295,3.3129918729502883,0.5640650444477384,0.047893,0.880212,0.04468,0.168274,0.10023,0.02853,0.638548,-6.484731,-0.007496,-0.13539,55.738298707356215,4.27583315866696,60.0,0.3488178352800393,0.22486862519326611,0.24789842017354635,124.739636,6.766127,21.453571,1.6931,1.772733,1.028649,0.190574
000046.XSHE,0.04163890739506996,0.1772609635905981,0.19250389820393862,0.2949243519037367,7.242701196589879,3.5227946210377943,-0.108001,2.294691,0.24068,0.588938,0.234968,0.027505,0.083867,-4.981457,0.446481,1.448777,57.73501223614153,7.705739098469895,45.0,0.44946916807725934,0.23585473157960582,0.42722887299530704,111.627907,-4.072152,19.78,0.43372,0.376955,0.449272,-0.056035
000060.XSHE,0.005191630883350803,0.23522770041400076,0.6067592985862509,-0.015248597891423882,1.9973862045536606,0.31295008920400696,-0.064722,0.794561,0.009116,0.066643,0.022071,0.010985,1.203098,5.634917,-0.343237,-0.779248,53.45599637339195,-1.3832578106367925,55.00000000000001,0.28904136332297625,0.4343503648456817,-0.29061800304541086,128.664136,16.346543,18.246429,2.95232,3.882138,0.826646,0.03636
000061.XSHE,0.0023603788691330422,0.16173117044848054,0.055912463447227015,-0.0008561885005151258,2.4671646073967075,0.47100422358096883,0.025407,0.475978,0.056456,0.484757,0.014594,0.006222,0.111725,28.674067,-0.015943,-0.548786,56.55689136745088,1.714048064640698,55.00000000000001,0.9570527686212138,0.9946529053744633,-0.07520027350649894,117.431999,2.642203,23.102857,2.54938,2.797585,0.810599,0.04472
000063.XSHE,0.04432329410721805,0.3467767104761244,1.1866619200189865,0.08154744430309555,3.224188540777596,0.3103944118796958,0.030614,1.322815,0.04119,0.328641,0.134598,0.032334,0.784992,-1.166503,0.148891,0.380799,55.543559731177986,4.048618654766442,65.0,0.2529757732296076,0.17065882062222879,0.16463390521475768,110.445587,-1.233434,9.912143,1.4764,1.947793,-0.142274,-0.286927
000069.XSHE,0.06879424329772085,0.4632417658776115,0.4475073838718339,0.08272188076468107,3.0430608168606614,0.6888851143670429,0.117956,1.591392,0.182375,0.519879,0.148506,0.051207,0.280777,7.78288,-0.038305,0.079341,51.81144440401263,0.28248587570620864,40.0,0.17520449810594485,0.17032625036562749,0.00975649548063473,126.463803,7.481436,16.447143,1.44748,2.35361,1.718493,0.635696
000100.XSHE,0.05815474978918903,0.4618724308346035,2.0403999183840034,0.09557396947367415,3.2728231570687387,0.6442882144687265,-0.035192,1.114944,0.036069,0.169003,0.125909,0.032673,0.90311,1.237317,0.133673,-0.077255,54.169815718501646,3.0274211443968904,50.0,0.08809897235214548,0.054813034345745366,0.06657187601280022,105.825243,-15.932079,0.478571,1.99878,2.364172,1.773569,1.117148
000156.XSHE,0.011614118587119247,0.19371961023614423,0.05589746169626437,0.12445240939864596,1.351527315327065,0.13269618801678745,-0.224503,3.657258,0.20723,0.440915,0.059953,0.044203,0.213306,1.481921,0.157679,0.758829,50.821009688859256,-1.8176509234250844,55.00000000000001,0.46209829107890243,0.8330630439610255,-0.7419295057642461,105.296419,9.935594,2.137143,2.08286,3.965135,0.206037,0.267203
000157.XSHE,-0.022544406845383693,0.9623712828409201,0.513083632632119,0.025384189711280227,2.434029612151152,0.6012876768756652,-0.012139,2.351002,-0.044703,0.254977,-0.023425,-0.009584,0.214398,-5.197712,-0.284677,-1.874275,48.243701614716834,-1.0396104750625395,40.0,0.0037416259172018407,0.003902629094071061,-0.000322006353738441,94.589385,4.040009,8.424286,0.97128,1.525815,-0.742362,0.720984
000166.XSHE,0.053815810008664346,0.291860023932522,0.13489451249123185,0.6309944472488642,7.284788577936657,,,,0.405221,0.544208,0.229386,0.031239,0.077092,-50.821465,,,,1.166201616942121,50.0,0.06267996012670807,0.06903169559976571,-0.012703470946115292,113.909774,21.354783,0.417143,1.43818,3.017602,1.039964,0.217464
000333.XSHE,0.08972391949969942,0.34057625502349975,1.0339123242349049,-0.09419655052231987,2.4846439452967446,0.009983977533161228,0.011863,1.246361,0.094196,0.261588,0.263444,0.101494,1.071548,3.405833,0.056092,0.197953,64.08604724649632,9.534397070363603,55.00000000000001,0.7552643062549969,0.4744261171014179,0.5616763783071579,176.049227,19.132927,3.607857,1.16746,1.126615,0.7989,0.49589
000338.XSHE,0.04197342242891801,0.813868316106454,2.021018593371059,0.10281296265833197,2.909288638273288,0.8425449353384951,0.037268,1.421419,0.030673,0.229853,0.051573,0.019991,0.651748,9.942694,0.097533,-0.589856,49.587275025650584,-0.5285269006640426,35.0,0.007562634268206914,0.020298936975520442,-0.025472605414627057,75.948024,1.709579,1.899286,1.02484,1.637192,0.908938,-0.229279
000400.XSHE,0.032389817936833376,0.29270577215782695,0.3456380478363058,-0.0019553427099837646,1.6878921764876866,0.11073512158363041,0.023897,2.540691,0.108684,0.318616,0.110657,0.069212,0.636815,2.727042,-0.152877,-0.302574,50.78022607864,2.8574665118518525,55.00000000000001,-0.14666843875634683,-0.2370186334400875,0.18070038936748134,57.786638,-22.924584,4.837143,1.75238,2.422513,0.574077,-0.587196
000402.XSHE,0.09750580159519491,0.7035317292809906,0.5811250581125058,0.01305152480964351,3.774448915948325,1.7730728535037374,0.01532,3.003838,0.17089,0.311813,0.138594,0.032668,0.191161,-77.549734,0.042783,0.275623,55.79382609519894,-1.6984045290787355,50.0,0.6060102261710654,0.7254404918294195,-0.23886053131670826,113.206174,-23.892386,24.699286,3.17982,2.619747,1.071506,0.920336
000413.XSHE,0.030608746755472843,0.2000160012801024,0.09370578258384325,0.12168706953199153,2.3532298272907965,0.6932197226897585,0.334644,2.390648,0.33513,0.424581,0.15303,0.064133,0.191369,2.350367,1.062887,0.360228,49.56429062794412,-1.6230539913878599,55.00000000000001,-0.038032496100948165,0.0891298661383198,-0.25432472447853594,76.409186,-21.483086,1.190714,1.8314,3.831808,-0.510251,0.251574
