,EP,BP,SP,CFP,financial_leverage,debtequityratio,cashratio,currentratio,NI,GPM,ROE,ROA,asset_turnover,net_operating_cash_flow,Sales_G_q,Profit_G_q,RSI,BIAS,PSY,DIF,DEA,MACD,AR,ARBR,ATR14,VOL5,VOL60,Skewness20,Skewness60
000001.XSHE,0.13005930704401208,0.9354536950420954,0.5352172982230785,1.291822761917065,16.540194481213724,,,,0.243004,0.320105,0.139039,0.008406,0.034593,-14.709505,0.293733,0.136201,47.320721435098875,-4.010678963655126,45.0,0.15591689074295623,0.23197977860808047,-0.1521257757302485,144.580501,26.922063,29.569286,0.52804,0.681573,0.799778,-0.457878
000002.XSHE,0.09693773689159453,0.5340453938584779,0.9778994719342852,-0.03453479899020248,4.712424271844943,0.3928474015464433,-0.004546,1.293264,0.130315,0.294621,0.181519,0.037178,0.285295,1.058351,0.20498,0.151733,54.22574731303311,0.30593309594264256,45.0,0.19877481161216792,0.18150940114012382,0.034530820944088214,197.197459,32.749241,51.85,0.9505,0.70802,1.570488,0.628978
000009.XSHE,0.022692872395709232,0.1403567869524331,0.15058426695578847,0.04113195129976967,2.5721123060315385,0.6191438047347603,0.190907,1.882466,0.191491,0.313175,0.161681,0.055109,0.28695,-0.535604,0.207291,1.381923,59.1165796202073,3.956629256229775,55.00000000000001,0.8562932623678314,0.9035285713089941,-0.09447061788232536,175.149132,2.87921,7.727857,9.20018,7.919368,0.186753,-0.206371
000024.XSHE,0.045054989614824896,0.3491376300537672,0.4624277456647399,0.045632304020662304,3.7662512901100347,0.8751621545151033,0.02954,1.858092,0.11385,0.374243,0.129048,0.027322,0.239987,64.052311,0.325374,0.26995,57.675069290670436,0.25655069038078643,55.00000000000001,1.8799275840592884,2.188153780848314,-0.6164523935780508,134.690302,-49.746371,6.627143,4.0772,3.226225,1.050404,-0.028711
000027.XSHE,0.05049026042876329,0.5054078641463662,0.28300551860761286,0.033066596124594935,1.9579080233192263,0.26565887821672746,-0.103571,0.830943,0.207749,0.297926,0.099901,0.05234,0.251941,1.879913,-0.074658,0.05081,45.9804675957246,-7.2591061741152405,50.0,0.21952455819486527,0.3070823943135236,-0.1751156722373166,99.49474,-20.741178,9.891429,3.14506,3.94689,-0.596738,-0.23262
000039.XSHE,0.050755753164621206,0.4674207721791156,1.2934937265554263,0.0395732421565834,3.3129918729502883,0.5640650444477384,0.047893,0.880212,0.04468,0.168274,0.10023,0.02853,0.638548,-6.484731,-0.007496,-0.13539,43.34269708293994,-7.386394337277791,40.0,0.08578919218724401,0.17450588327697583,-0.17743338217946364,105.92718,17.22297,18.225714,1.2654,1.667947,-0.076927,0.019672
000046.XSHE,0.04772312949193956,0.20316118808662792,0.22063365987114994,0.33802055164954026,7.242701196589879,3.5227946210377943,-0.108001,2.294691,0.24068,0.588938,0.234968,0.027505,0.083867,-4.981457,0.446481,1.448777,44.19726134732861,-7.953243181297285,60.0,0.18942642614690897,0.3453536977466457,-0.3118545431994735,117.356166,19.523164,18.598571,0.30436,0.381263,-0.550646,0.065013
000060.XSHE,0.00594600669163593,0.26940380936986447,0.6949270326615705,-0.01746432039343621,1.9973862045536606,0.31295008920400696,-0.064722,0.794561,0.009116,0.066643,0.022071,0.010985,1.203098,5.634917,-0.343237,-0.779248,49.12093057150254,-3.3467384636357305,65.0,0.22221623396498558,0.24735653674720315,-0.050280605564435144,131.663427,24.088278,19.911429,3.65624,3.207525,-0.348336,-0.045886
000061.XSHE,0.0028270205493296707,0.19370460048426152,0.06696622893075022,-0.0010254552867654946,2.4671646073967075,0.47100422358096883,0.025407,0.475978,0.056456,0.484757,0.014594,0.006222,0.111725,28.674067,-0.015943,-0.548786,46.50074077304375,-3.7205240174672536,65.0,0.13927225566636992,0.15468373146480047,-0.030822951596861103,101.401611,-7.923922,13.969286,2.103,1.994717,-0.996475,0.002321
000063.XSHE,0.04723933335852764,0.36959012455187196,1.2647021626406982,0.08691193213916339,3.224188540777596,0.3103944118796958,0.030614,1.322815,0.04119,0.328641,0.134598,0.032334,0.784992,-1.166503,0.148891,0.380799,45.98708206659562,-6.00537277217713,50.0,0.23039342079081493,0.42343517447599904,-0.38608350737036823,99.787788,11.010297,10.806429,1.89928,2.090857,0.269238,0.066126
